key,0,1,2
#,Name,ClassJob,PreviousComboAction
int32,Action,ClassJob,Action
0,"",,""
1,"ゲベート","ナイト","ロイエ"
2,"グラブカッマー","ナイト","ロイエ"
3,"ブレード・オブ・フェイス","ナイト","コンフィテオル"
4,"ブレード・オブ・トゥルース","ナイト","コンフィテオル"
5,"ブレード・オブ・ヴァラー","ナイト","コンフィテオル"
6,"ブレード・オブ・オナー","ナイト","インペラトル"
7,"カオティックサイクロン","戦士","デシメート"
8,"インナーカオス","戦士","フェルクリーヴ"
9,"原初の激震","戦士","原初の解放"
10,"ルイネーター","戦士","プライマルレンド"
11,"レッドデリリアム","暗黒騎士","ブラッドスピラー"
12,"カマパンス","暗黒騎士","ブラッドスピラー"
13,"トアクリーバー","暗黒騎士","ブラッドスピラー"
14,"インペイルメント","暗黒騎士","クワイタス"
15,"サベッジクロウ","ガンブレイカー","ビートファング"
16,"ウィケッドタロン","ガンブレイカー","ビートファング"
17,"ジャギュラーリップ","ガンブレイカー","コンティニュエーション"
18,"アブドメンテアー","ガンブレイカー","コンティニュエーション"
19,"アイガウジ","ガンブレイカー","コンティニュエーション"
20,"ハイパーヴェロシティ","ガンブレイカー","コンティニュエーション"
21,"フェイテッドブランド","ガンブレイカー","コンティニュエーション"
22,"ルーラー・オブ・ハート","ガンブレイカー","ブラッドソイル"
23,"エンド・オブ・ハート","ガンブレイカー","ブラッドソイル"
24,"蒼気砲","モンク","必殺技"
25,"爆裂脚","モンク","必殺技"
26,"天宙脚","モンク","必殺技"
27,"闘魂旋風脚","モンク","必殺技"
28,"鳳凰の舞","モンク","必殺技"
29,"夢幻闘舞","モンク","必殺技"
30,"真空波","モンク","必殺技"
31,"雲蒸竜変","竜騎士",""
32,"竜眼雷電","竜騎士","トゥルースラスト"
33,"竜眼蒼穹","竜騎士","ドゥームスパイク"
34,"口寄せの術",,"忍術"
35,"風魔手裏剣","忍者","忍術"
36,"火遁の術","忍者","忍術"
37,"雷遁の術","忍者","忍術"
38,"氷遁の術","忍者","忍術"
39,"風遁の術","忍者","忍術"
40,"土遁の術","忍者","忍術"
41,"水遁の術","忍者","忍術"
42,"劫火滅却の術","忍者","忍術"
