key,0
#,Status
int32,Status
0,""
1,"ストレートショット実行可"
2,"ケアルラ効果アップ"
3,"蛇鋭牙【穿裂】"
4,"サンダー系魔法効果アップ"
5,"ファイガ効果アップ"
6,"士気高揚の策効果アップ"
7,"竜牙竜爪実行可"
8,"竜尾大車輪実行可"
9,"スラッグショット効果アップ"
10,"クリーンショット効果アップ"
11,"アンリーシュ効果アップ"
12,"ベネフィラ効果アップ"
13,"ミラージュダイブ実行可"
14,"燕飛効果アップ"
15,"ヴァルファイア実行可"
16,"ヴァルストーン実行可"
17,"インパクト詠唱可"
18,"スキャッター効果アップ"
19,"サンダー系魔法効果アップ"
20,"疾風の極意"
21,"連続魔"
22,"略式詠唱"
23,"疾風の極意"
24,"ルインジャ実行可"
25,"リバースカスケード実行可"
26,"ファウンテンフォール実行可"
27,"ライジングウィンドミル実行可"
28,"ブラッドシャワー実行可"
29,"扇の舞い【急】実行可"
30,""
31,"レクイエスカット"
32,"竜眼"
33,"ジャギュラーリップ実行可"
34,"アブドメンテアー実行可"
35,"アイガウジ実行可"
36,"ロイエ実行可"
37,"終撃実行可"
38,"扇の舞い【急】実行可"
39,"忠義の剣"
40,"霊泉"
41,"原初の混沌"
42,"ジャギュラーリップ実行可"
43,"アブドメンテアー実行可"
44,"アイガウジ実行可"
45,"妖異の鎌"
46,"コンフィテオル実行可"
47,"リターン実行可"
48,"妖異の鎌"
49,"リターン実行可"
50,"対称投擲"
51,"非対称投擲"
52,"ハイパーヴェロシティ実行可"
53,"ブラストアロー実行可"
54,"ブラッドデリリアム"
55,"エウクラシア"
56,"ハルパー効果アップ"
57,"ソウルソウ"
58,"月影雷獣実行可"
59,"蛇鋭牙【咬創】"
60,"壱の型：魔猿"
61,"プライマルレンド実行可"
62,"残影鎌鼬実行可"
63,"死の供物"
64,"インプロビゼーション"
65,"ティラナ実行可"
66,"扇の舞い【終】実行可"
67,"流星の舞い実行可"
68,"クリムゾンサイクロン実行可"
69,"スリップストリーム実行可"
70,"エウクラシア"
71,"ハルパー効果アップ"
72,"奥義波切実行可"
73,"フレア効果アップ"
74,"ジビトゥ効果アップ"
75,"ギャロウズ効果アップ"
76,"マウンテンバスター実行可"
77,"シャドウバイト実行可"
78,"●コンフィテオル実行可"
79,"レムール"
80,"ブラックブラッド"
81,"ダークアーツ"
82,"ハイパーヴェロシティ実行可"
83,"ソイル"
84,"連続剣"
85,"ケアルガ実行可"
86,"エウクラシア"
87,"アダースティング"
88,"詩心"
89,"ブラストアロー実行可"
90,"オーバーヒート"
91,"アン・アヴァン"
92,"剣の舞い実行可"
93,"刃の舞い"
94,"金剛の神髄"
95,"ヘヴンスラスト実行可"
96,"紅の竜血"
97,"天竜眼"
98,"スカイハイ"
99,"星遁天誅実行可"
100,"乱れ雪月花実行可"
101,"ソウルソウ"
102,""
103,"アストラルファイアII"
104,""
105,"アンブラルブリザードII"
106,"ポリグロット"
107,"トランス・バハムート"
108,"トランス・フェニックス"
109,"ヴァルホーリー、ヴァルフレア実行可"
110,"●デプラスマン実行可"
111,"月影雷獣牙実行可"
112,"秘策"
113,"アナライズ"
114,"アストラルファイアIII"
115,"アンブラルブリザードIII"
116,"鋭牙【側撃】"
117,"鋭牙【側裂】"
118,"鋭牙【背撃】"
119,"鋭牙【背裂】"
120,"大鋭牙【乱撃】"
121,"大鋭牙【乱裂】"
122,""
123,""
124,""
125,""
