key,0,1,2,3
#,Item,Order,Category,SortKey
int32,Item,uint16,CabinetCategory,byte
0,"ガラントコロネット",1,"アーティファクト装備",1
1,"ガラントサーコート",2,"アーティファクト装備",1
2,"ガラントクウィス",4,"アーティファクト装備",1
3,"ガラントガントレット",3,"アーティファクト装備",1
4,"ガラントソルレット",5,"アーティファクト装備",1
5,"テンプルサークレット",1,"アーティファクト装備",2
6,"テンプルシクラス",2,"アーティファクト装備",2
7,"テンプルガスキン",4,"アーティファクト装備",2
8,"テンプルグローブ",3,"アーティファクト装備",2
9,"テンプルブーツ",5,"アーティファクト装備",2
10,"ファイターバーゴネット",1,"アーティファクト装備",3
11,"ファイターキュイラス",2,"アーティファクト装備",3
12,"ファイターブリーチ",4,"アーティファクト装備",3
13,"ファイターガントレット",3,"アーティファクト装備",3
14,"ファイタージャックブーツ",5,"アーティファクト装備",3
15,"ドラケンアーメット",1,"アーティファクト装備",4
16,"ドラケンメイル",2,"アーティファクト装備",4
17,"ドラケンブリーチ",4,"アーティファクト装備",4
18,"ドラケンガントレット",3,"アーティファクト装備",4
19,"ドラケングリーヴ",5,"アーティファクト装備",4
20,"コラルシャポー",1,"アーティファクト装備",5
21,"コラルシャツ",2,"アーティファクト装備",5
22,"コラルタイツ",4,"アーティファクト装備",5
23,"コラルリングバンド",3,"アーティファクト装備",5
24,"コラルサンダル",5,"アーティファクト装備",5
25,"ヒーラーサークレット",1,"アーティファクト装備",7
26,"ヒーラーローブ",2,"アーティファクト装備",7
27,"ヒーラーキュロット",4,"アーティファクト装備",7
28,"ヒーラーグローブ",3,"アーティファクト装備",7
29,"ヒーラーブーツ",5,"アーティファクト装備",7
30,"ウィザードペタソス",1,"アーティファクト装備",8
31,"ウィザードコート",2,"アーティファクト装備",8
32,"ウィザードトンバン",4,"アーティファクト装備",8
33,"ウィザードグローブ",3,"アーティファクト装備",8
34,"ウィザードクラコー",5,"アーティファクト装備",8
35,"龍形兜",4,"シーズナル装備（その4）",44
36,"朱漆塗龍形兜",5,"シーズナル装備（その4）",44
37,"金箔押龍形兜",6,"シーズナル装備（その4）",44
38,"黒漆塗龍形兜",7,"シーズナル装備（その4）",44
39,"パラムールペンダント",1,"シーズナル装備（その4）",55
