key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,TopImage,BottomImage,FontColor,,,,UnlockCondition,,,,SortKey,Name,
int32,Image,Image,byte,byte,byte,byte,BannerCondition,uint16,uint16,uint16,byte,uint16,str
0,"ui/icon/196000/196001.tex","ui/icon/196000/196251.tex",0,0,0,0,"BannerCondition#1",0,0,0,0,0,"なし"
1,"ui/icon/196000/196002.tex","ui/icon/196000/196252.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,3,"半透明：ブラック"
2,"ui/icon/196000/196003.tex","ui/icon/196000/196253.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,1,"グラデーション：グレー"
3,"ui/icon/196000/196004.tex","ui/icon/196000/196254.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,2,"グラデーション：パープル"
4,"ui/icon/196000/196005.tex","ui/icon/196000/196255.tex",2,0,0,0,"BannerCondition#1",0,0,0,1,5,"アイボリー"
5,"ui/icon/196000/196006.tex","ui/icon/196000/196256.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,9,"スピア"
6,"ui/icon/196000/196007.tex","ui/icon/196000/196257.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,10,"クラシック"
7,"ui/icon/196000/196008.tex","ui/icon/196000/196258.tex",2,0,0,0,"BannerCondition#1",0,0,0,1,7,"ウッドボード"
8,"ui/icon/196000/196009.tex","ui/icon/196000/196259.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,4,"半透明：ダークブルー"
9,"ui/icon/196000/196010.tex","ui/icon/196000/196260.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,6,"ウッドパターン"
10,"ui/icon/196000/196011.tex","ui/icon/196000/196261.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,8,"スクロール"
11,"ui/icon/196000/196101.tex",,1,0,0,0,"BannerCondition#319",0,0,0,4,2500,"絶バハムート討滅戦"
12,"ui/icon/196000/196102.tex",,1,0,0,0,"BannerCondition#320",0,0,0,4,2501,"絶アルテマウェポン破壊作戦"
13,"ui/icon/196000/196103.tex",,1,0,0,0,"BannerCondition#321",0,0,0,4,2502,"絶アレキサンダー討滅戦"
14,"ui/icon/196000/196104.tex",,1,0,0,0,"BannerCondition#322",0,0,0,4,2503,"絶竜詩戦争"
15,"ui/icon/196000/196216.tex","ui/icon/196000/196466.tex",1,0,0,0,"BannerCondition#344",0,0,0,3,2315,"友好部族クエスト：オミクロン族"
16,"ui/icon/196000/196012.tex","ui/icon/196000/196262.tex",1,0,0,0,"BannerCondition#347",0,0,0,7,22,"ミュージック"
17,"ui/icon/196000/196013.tex","ui/icon/196000/196263.tex",1,0,0,0,"BannerCondition#1",0,0,0,1,23,"東方風"
18,"ui/icon/196000/196014.tex","ui/icon/196000/196264.tex",1,0,0,0,"BannerCondition#346",0,0,0,9,1000,"マスキングテープ：リムサ・ロミンサ"
19,"ui/icon/196000/196015.tex","ui/icon/196000/196265.tex",1,0,0,0,"BannerCondition#346",0,0,0,9,1001,"マスキングテープ：グリダニア"
20,"ui/icon/196000/196016.tex","ui/icon/196000/196266.tex",1,0,0,0,"BannerCondition#346",0,0,0,9,1002,"マスキングテープ：ウルダハ"
21,"ui/icon/196000/196212.tex","ui/icon/196000/196462.tex",1,0,0,0,"BannerCondition#429",0,0,0,3,2311,"友好部族クエスト：ピクシー族"
22,"ui/icon/196000/196213.tex","ui/icon/196000/196463.tex",1,0,0,0,"BannerCondition#430",0,0,0,3,2312,"友好部族クエスト：キタリ族"
23,"ui/icon/196000/196214.tex","ui/icon/196000/196464.tex",1,0,0,0,"BannerCondition#431",0,0,0,3,2313,"友好部族クエスト：ドワーフ族"
24,"ui/icon/196000/196215.tex","ui/icon/196000/196465.tex",1,0,0,0,"BannerCondition#432",0,0,0,3,2314,"友好部族クエスト：アルカソーダラ族"
25,"ui/icon/196000/196217.tex","ui/icon/196000/196467.tex",1,0,0,0,"BannerCondition#433",0,0,0,3,2316,"友好部族クエスト：レポリット族"
26,"ui/icon/196000/196105.tex",,1,0,0,0,"BannerCondition#434",0,0,0,4,2504,"絶オメガ検証戦"
27,"ui/icon/196000/196210.tex","ui/icon/196000/196460.tex",1,0,0,0,"BannerCondition#524",0,0,0,3,2308,"友好部族クエスト：コウジン族"
28,"ui/icon/196000/196209.tex","ui/icon/196000/196459.tex",2,0,0,0,"BannerCondition#525",0,0,0,3,2309,"友好部族クエスト：アナンタ族"
