key,0,1,2
#,FirstQuest,LastQuest,
int32,CompleteJournal,CompleteJournal,int32
0,"","冒険者への手引き",0
1,"冒険者への手引き","「暁」の在り方",1
2,"「暁」の在り方","イシュガルドへ",1
3,"イシュガルドへ","蒼天の未来",1
4,"蒼天の未来","戦う者たちの休息",1
5,"戦う者たちの休息","長城を越えて",1
6,"長城を越えて","冒険の誘い",1
7,"冒険の誘い","予感",1
8,"予感","生命力の揺らぎ",1
9,"生命力の揺らぎ","アリゼーの志",1
10,"アリゼーの志","やがて流れは海へと注ぐ",1
11,"やがて流れは海へと注ぐ","新たなる冒険",1
12,"新たなる冒険","未知なる冒険へ",1
13,"未知なる冒険へ","",1
14,"","新たな蛮神",1
15,"新たな蛮神","古代アラグ文明の遺産",1
16,"古代アラグ文明の遺産","破滅への胎動",1
17,"破滅への胎動","古の神",1
18,"古の神","空賊たち",1
19,"空賊たち","オメガの消息",1
20,"オメガの消息","追われた巡業一座",2
21,"追われた巡業一座","鬼の棲む島",1
22,"鬼の棲む島","始まりの「楽園」",1
23,"始まりの「楽園」","コメラの村の噂",1
24,"コメラの村の噂","ウェポン襲来",1
25,"ウェポン襲来","「パンデモニウム」への警告",1
26,"「パンデモニウム」への警告","委員会へのとある依頼",1
27,"委員会へのとある依頼","アルカディアの挑戦者",1
28,"アルカディアの挑戦者"," 始めよう、ドリーミング！",1
29," 始めよう、ドリーミング！"," 忘れられた大地の味",2
30," 忘れられた大地の味"," 爆走ヒッポ、島を駆る",2
31," 爆走ヒッポ、島を駆る","希望と夢をカートに詰めて",2
32,"希望と夢をカートに詰めて","荒野に逆巻く騒擾",2
33,"荒野に逆巻く騒擾","仮宿を訪ねて",2
34,"仮宿を訪ねて","人造硝石強奪犯を追え",2
35,"人造硝石強奪犯を追え","深海より来たりしもの",2
36,"深海より来たりしもの","雷雨来たりなば",2
37,"雷雨来たりなば"," 花冠の逃亡者",2
38," 花冠の逃亡者"," 名なしのグナース族",2
39," 名なしのグナース族"," 人を惑わす修復団！",2
40," 人を惑わす修復団！","",2
41,""," 新たな仲間は光の戦士",2
42," 新たな仲間は光の戦士","潤えナマズ",2
43,"潤えナマズ"," 夢と現の狭間で",2
44," 夢と現の狭間で"," 正史紡ぎし民ぞ来たり",2
45," 正史紡ぎし民ぞ来たり"," ワッツハンマー・ガレージ、始動！",2
46," ワッツハンマー・ガレージ、始動！","新たな蛮族事件（双蛇党）",2
47,"新たな蛮族事件（双蛇党）","追憶行",2
48,"追憶行","謎の事件屋",2
49,"謎の事件屋","英雄の武器を求めて",2
50,"英雄の武器を求めて","廃キャンプに眠る財宝",2
51,"廃キャンプに眠る財宝"," 時代の終焉を綴る",2
52," 時代の終焉を綴る","",2
53,"","森の都グリダニアへ",3
54,"森の都グリダニアへ","砂の都ウルダハへ",3
55,"砂の都ウルダハへ","ギルドリーヴ開放「アドネール占星台」",3
56,"ギルドリーヴ開放「アドネール占星台」","麒麟、現世に降り立たん",3
57,"麒麟、現世に降り立たん","イシュガルドの歴史",3
58,"イシュガルドの歴史","一石二鳥の鳥退治",3
59,"一石二鳥の鳥退治","巡回調査",3
60,"巡回調査","アラグ式トレーニング",3
61,"アラグ式トレーニング","魔導兵器は暴走する",3
62,"魔導兵器は暴走する","「刺突漁」で魚を狙え",3
63,"「刺突漁」で魚を狙え","九尾、現世に舞い降りん",3
64,"九尾、現世に舞い降りん"," 医療館のお手伝いさん募集中！",3
65," 医療館のお手伝いさん募集中！"," 浜辺に遺された品",3
66," 浜辺に遺された品"," ノルマの代わりに",3
67," ノルマの代わりに"," 名前の意味",3
68," 名前の意味"," 森染めの加護",3
69," 森染めの加護"," オレンジ色の夢",3
70," オレンジ色の夢","無窮の翼、現世に飛翔せん",3
71,"無窮の翼、現世に飛翔せん"," ぎっくり腰にご用心！",3
72," ぎっくり腰にご用心！"," 持ち寄られた物資確認",3
73," 持ち寄られた物資確認"," ザ・キャロット・オブ・フォー",3
74," ザ・キャロット・オブ・フォー"," 鉱石好きの黒いアイツ",3
75," 鉱石好きの黒いアイツ"," 鳴り止まぬ恐怖の音",3
76," 鳴り止まぬ恐怖の音"," とりどりのマムージャ",3
77," とりどりのマムージャ"," 極上のブツ",3
78," 極上のブツ"," 伝承の泉に願うこと",3
79," 伝承の泉に願うこと","最強の剣術士",3
80,"最強の剣術士","自然を紡ぐ幻術士",2
81,"自然を紡ぐ幻術士","木工師ベアティヌ先生",2
82,"木工師ベアティヌ先生","採掘師アダルベルタ女史",2
83,"採掘師アダルベルタ女史","若き経営者、イオラ",2
84,"若き経営者、イオラ","ルルシャ教授と奇妙な遺物",2
85,"ルルシャ教授と奇妙な遺物","街の金荒物屋さん",2
86,"街の金荒物屋さん","自由騎士の誓約",2
87,"自由騎士の誓約","偉人の後継者",2
88,"偉人の後継者","顔に傷のある男",2
89,"顔に傷のある男","激闘のウルヴズジェイル（黒渦団）",2
90,"激闘のウルヴズジェイル（黒渦団）","馬奉行と降神祭",2
91,"馬奉行と降神祭","時がふたりを分かつまで",2
92,"時がふたりを分かつまで","リーヴテスト06",2
93,"リーヴテスト06","確認採集：崩れかけた石壁の撤去作業",3
94,"確認採集：崩れかけた石壁の撤去作業","リーヴテスト01",3
