key,0,1,2,3,4,5
#,Scale,Icon,Font,,,Cast
int32,uint16,Image,CreditFont,byte,byte,CreditListText
0.0,0,,"CreditFont#0",0,0,""
0.1,0,,"CreditFont#0",0,0,""
0.2,0,,"CreditFont#0",0,0,""
0.3,0,,"CreditFont#0",0,0,""
0.4,0,,"CreditFont#0",0,0,""
0.5,0,,"CreditFont#0",0,0,""
0.6,0,,"CreditFont#0",0,0,""
0.7,0,,"CreditFont#0",0,0,""
0.8,0,,"CreditFont#0",0,0,""
0.9,0,,"CreditFont#0",0,0,""
0.10,0,,"CreditFont#0",0,0,""
0.11,0,,"CreditFont#0",0,0,""
0.12,0,,"CreditFont#0",0,0,""
0.13,0,,"CreditFont#0",0,0,""
0.14,0,,"CreditFont#0",0,0,""
0.15,0,,"CreditFont#0",0,0,""
0.16,0,,"CreditFont#0",0,0,""
0.17,0,,"CreditFont#0",0,0,""
0.18,0,,"CreditFont#0",0,0,""
0.19,0,,"CreditFont#0",0,0,""
0.20,0,,"CreditFont#0",0,0,""
0.21,0,,"CreditFont#0",0,0,""
0.22,0,,"CreditFont#0",0,0,""
0.23,0,,"CreditFont#0",0,0,""
0.24,0,,"CreditFont#0",0,0,""
0.25,0,,"CreditFont#0",0,0,""
0.26,0,,"CreditFont#0",0,0,""
0.27,0,,"CreditFont#0",0,0,""
0.28,0,,"CreditFont#0",0,0,""
0.29,0,,"CreditFont#0",0,0,""
0.30,0,,"CreditFont#0",0,0,""
0.31,0,,"CreditFont#0",0,0,""
1.0,400,,"CreditFont#5",90,3,"FINAL FANTASY XIV: STORMBLOOD"
1.1,860,,"CreditFont#2",90,3,"Title Logo Designer and Image Illustrator"
1.2,40,,"CreditFont#3",90,3,"Yoshitaka Amano"
1.3,240,,"CreditFont#2",90,3,"Main Theme Composer"
1.4,40,,"CreditFont#3",90,3,"Nobuo Uematsu"
1.5,480,,"CreditFont#8",90,3,"Voice Cast"
1.6,100,,"CreditFont#2",90,3,"ALPHINAUD"
1.7,30,,"CreditFont#3",90,3,"Shinnosuke Tachibana"
1.8,30,,"CreditFont#3",90,3,"Colin Ryan"
1.9,30,,"CreditFont#3",90,3,"Sébastien Desjours"
1.10,30,,"CreditFont#3",90,3,"Markus Haase"
1.11,80,,"CreditFont#2",90,3,"ALISAIE"
1.12,30,,"CreditFont#3",90,3,"Rie Murakawa"
1.13,30,,"CreditFont#3",90,3,"Bethan Walker"
1.14,30,,"CreditFont#3",90,3,"Charlyne Pestel"
1.15,30,,"CreditFont#3",90,3,"Ann-Cathrin Schaible"
1.16,80,,"CreditFont#2",90,3,"THANCRED"
1.17,30,,"CreditFont#3",90,3,"Yuichi Nakamura"
1.18,30,,"CreditFont#3",90,3,"Peter Bramhill"
1.19,30,,"CreditFont#3",90,3,"Pierre Tessier"
1.20,30,,"CreditFont#3",90,3,"Peter Lehn"
1.21,80,,"CreditFont#2",90,3,"Y'SHTOLA"
1.22,30,,"CreditFont#3",90,3,"Ai Kayano"
1.23,30,,"CreditFont#3",90,3,"Robyn Addison"
1.24,30,,"CreditFont#3",90,3,"Laëtitia Lefebvre"
1.25,30,,"CreditFont#3",90,3,"Annette Schreier"
1.26,80,,"CreditFont#2",90,3,"URIANGER"
1.27,30,,"CreditFont#3",90,3,"KENN"
1.28,30,,"CreditFont#3",90,3,"Timothy Watson"
1.29,30,,"CreditFont#3",90,3,"Raphaël Cohen"
1.30,30,,"CreditFont#3",90,3,"Florian Hoffmann"
1.31,80,,"CreditFont#2",90,3,"KRILE"
1.32,30,,"CreditFont#3",90,3,"Yoshino Nanjo"
1.33,30,,"CreditFont#3",90,3,"Gemma Lawrence"
1.34,30,,"CreditFont#3",90,3,"Emmylou Homs"
1.35,30,,"CreditFont#3",90,3,"Jennifer Weiß"
1.36,80,,"CreditFont#2",90,3,"TATARU"
1.37,30,,"CreditFont#3",90,3,"Mariya Ise"
1.38,30,,"CreditFont#3",90,3,"Carina Reeves"
1.39,30,,"CreditFont#3",90,3,"Kelly Marot"
1.40,30,,"CreditFont#3",90,3,"Annette Gunkel"
1.41,140,,"CreditFont#2",90,3,"HIEN"
1.42,30,,"CreditFont#3",90,3,"Katsuyuki Konishi"
1.43,30,,"CreditFont#3",90,3,"Andrew Koji"
1.44,30,,"CreditFont#3",90,3,"Boris de Mourzitch"
1.45,30,,"CreditFont#3",90,3,"Matthias Scherwenikas"
1.46,80,,"CreditFont#2",90,3,"YUGIRI"
1.47,30,,"CreditFont#3",90,3,"Rina Satoh"
1.48,30,,"CreditFont#3",90,3,"Eleanor Matsuura"
1.49,30,,"CreditFont#3",90,3,"Marie Zidi"
1.50,30,,"CreditFont#3",90,3,"Marianne Graffam"
1.51,80,,"CreditFont#2",90,3,"GOSETSU"
1.52,30,,"CreditFont#3",90,3,"Yosuke Akimoto"
1.53,30,,"CreditFont#3",90,3,"Nigel Betts"
1.54,30,,"CreditFont#3",90,3,"Thierry Desroses"
1.55,30,,"CreditFont#3",90,3,"Bernd Vollbrecht"
1.56,80,,"CreditFont#2",90,3,"RAUBAHN"
1.57,30,,"CreditFont#3",90,3,"Hiroki Yasumoto"
1.58,30,,"CreditFont#3",90,3,"Nick Boulton"
1.59,30,,"CreditFont#3",90,3,"Frédéric Souterelle"
1.60,30,,"CreditFont#3",90,3,"Gordon Piedesack"
1.61,80,,"CreditFont#2",90,3,"LYSE"
1.62,30,,"CreditFont#3",90,3,"Aya Endo"
1.63,30,,"CreditFont#3",90,3,"Laura Aikman"
1.64,30,,"CreditFont#3",90,3,"Isabelle Volpé"
1.65,30,,"CreditFont#3",90,3,"Paulina Weiner"
1.66,140,,"CreditFont#2",90,3,"YOTSUYU"
1.67,30,,"CreditFont#3",90,3,"Shizuka Itoh"
1.68,30,,"CreditFont#3",90,3,"Naoko Mori"
1.69,30,,"CreditFont#3",90,3,"Sabrina Marchese"
1.70,30,,"CreditFont#3",90,3,"Yesim Meisheit"
1.71,80,,"CreditFont#2",90,3,"ASAHI"
1.72,30,,"CreditFont#3",90,3,"Junichi Yanagita"
1.73,30,,"CreditFont#3",90,3,"Matt McCooey"
1.74,30,,"CreditFont#3",90,3,"Laurent Gris"
1.75,30,,"CreditFont#3",90,3,"Simon Derksen"
1.76,80,,"CreditFont#2",90,3,"ZENOS"
1.77,30,,"CreditFont#3",90,3,"Kohsuke Toriumi"
1.78,30,,"CreditFont#3",90,3,"Luke Allen-Gale"
1.79,30,,"CreditFont#3",90,3,"Saverio Maligno"
1.80,30,,"CreditFont#3",90,3,"René Dawn-Claude"
1.81,80,,"CreditFont#2",90,3,"VARIS"
1.82,30,,"CreditFont#3",90,3,"Jouji Nakata"
1.83,30,,"CreditFont#3",90,3,"Michael Maloney"
1.84,30,,"CreditFont#3",90,3,"Philippe Valmont"
1.85,30,,"CreditFont#3",90,3,"Romanus Fuhrmann"
1.86,80,,"CreditFont#2",90,3,"GAIUS"
1.87,30,,"CreditFont#3",90,3,"Akio Otsuka"
1.88,30,,"CreditFont#3",90,3,"Michael McElhatton"
1.89,30,,"CreditFont#3",90,3,"Philippe Dumond"
1.90,30,,"CreditFont#3",90,3,"Thomas Dehler"
1.91,140,,"CreditFont#2",90,3,"NANAMO"
1.92,30,,"CreditFont#3",90,3,"Mariya Ise"
1.93,30,,"CreditFont#3",90,3,"Joanna Ruiz"
1.94,30,,"CreditFont#3",90,3,"Adeline Chetail"
1.95,30,,"CreditFont#3",90,3,"Antje von der Ahe"
1.96,80,,"CreditFont#2",90,3,"PIPIN"
1.97,30,,"CreditFont#3",90,3,"Nobuyuki Hiyama"
1.98,30,,"CreditFont#3",90,3,"Adam Howden"
1.99,30,,"CreditFont#3",90,3,"Benjamin Bollen"
1.100,30,,"CreditFont#3",90,3,"Benjamin Stöwe"
1.101,80,,"CreditFont#2",90,3,"KAN-E-SENNA"
1.102,30,,"CreditFont#3",90,3,"Rie Tanaka"
1.103,30,,"CreditFont#3",90,3,"Hannah Arterton"
1.104,30,,"CreditFont#3",90,3,"Kelly Marot"
1.105,30,,"CreditFont#3",90,3,"Annette Gunkel"
1.106,80,,"CreditFont#2",90,3,"MERLWYB"
1.107,30,,"CreditFont#3",90,3,"Atsuko Tanaka"
1.108,30,,"CreditFont#3",90,3,"Tracy-Ann Oberman"
1.109,30,,"CreditFont#3",90,3,"Marie Gamory"
1.110,30,,"CreditFont#3",90,3,"Ellen Schulz-Krandick"
1.111,80,,"CreditFont#2",90,3,"AYMERIC"
1.112,30,,"CreditFont#3",90,3,"Tatsuhisa Suzuki"
1.113,30,,"CreditFont#3",90,3,"Blake Ritson"
1.114,30,,"CreditFont#3",90,3,"Sylvain Agaësse"
1.115,30,,"CreditFont#3",90,3,"Tino Kießling"
1.116,140,,"CreditFont#2",90,3,"ARENVALD"
1.117,30,,"CreditFont#3",90,3,"Kohei Yoshiwara"
1.118,30,,"CreditFont#3",90,3,"Joe Dempsie"
1.119,30,,"CreditFont#3",90,3,"Gilduin Tissier"
1.120,30,,"CreditFont#3",90,3,"Adam Nümm"
1.121,80,,"CreditFont#2",90,3,"FORDOLA"
1.122,30,,"CreditFont#3",90,3,"Marika Hayashi"
1.123,30,,"CreditFont#3",90,3,"Annabel Scholey"
1.124,30,,"CreditFont#3",90,3,"Caroline Mozzone"
1.125,30,,"CreditFont#3",90,3,"Lisa Braun"
1.126,80,,"CreditFont#2",90,3,"MAXIMA"
1.127,30,,"CreditFont#3",90,3,"Ryota Takeuchi"
1.128,30,,"CreditFont#3",90,3,"Gunnar Cauthery"
1.129,30,,"CreditFont#3",90,3,"Pierre Tessier"
1.130,30,,"CreditFont#3",90,3,"Adam Nümm"
1.131,80,,"CreditFont#2",90,3,"MAGNAI"
1.132,30,,"CreditFont#3",90,3,"Taku Yashiro"
1.133,30,,"CreditFont#3",90,3,"Dan Fraser"
1.134,30,,"CreditFont#3",90,3,"Gilduin Tissier"
1.135,30,,"CreditFont#3",90,3,"Florian Hoffmann"
1.136,80,,"CreditFont#2",90,3,"SADU"
1.137,30,,"CreditFont#3",90,3,"Rie Tanaka"
1.138,30,,"CreditFont#3",90,3,"Beatriz Romilly"
1.139,30,,"CreditFont#3",90,3,"Emmylou Homs"
1.140,30,,"CreditFont#3",90,3,"Melanie Blocksdorf"
1.141,80,,"CreditFont#2",90,3,"TANSUI"
1.142,30,,"CreditFont#3",90,3,"Ryota Takeuchi"
1.143,30,,"CreditFont#3",90,3,"Nigel Pilkington"
1.144,30,,"CreditFont#3",90,3,"Benjamin Bollen"
1.145,30,,"CreditFont#3",90,3,"Johann Fohl"
1.146,80,,"CreditFont#2",90,3,"M'NAAGO"
1.147,30,,"CreditFont#3",90,3,"Runa Onodera"
1.148,30,,"CreditFont#3",90,3,"Hannah Arterton"
1.149,30,,"CreditFont#3",90,3,"Isabelle Volpé"
1.150,30,,"CreditFont#3",90,3,"Rieke Werner"
1.151,80,,"CreditFont#2",90,3,"MATOYA"
1.152,30,,"CreditFont#3",90,3,"Yu Sugimoto"
1.153,30,,"CreditFont#3",90,3,"Sheila Steafel"
1.154,30,,"CreditFont#3",90,3,"Cathy Cerda"
1.155,30,,"CreditFont#3",90,3,"Ulrike Hübschmann"
1.156,80,,"CreditFont#2",90,3,"ISSE"
1.157,30,,"CreditFont#3",90,3,"KENN"
1.158,30,,"CreditFont#3",90,3,"Stephen Hoo"
1.159,30,,"CreditFont#3",90,3,"Benjamin Bollen"
1.160,30,,"CreditFont#3",90,3,"Benjamin Stöwe"
1.161,80,,"CreditFont#2",90,3,"HANCOCK"
1.162,30,,"CreditFont#3",90,3,"Masato Ishihara"
1.163,30,,"CreditFont#3",90,3,"Ciarán Owens"
1.164,30,,"CreditFont#3",90,3,"Thierry Kazazian"
1.165,30,,"CreditFont#3",90,3,"Adam Nümm"
1.166,80,,"CreditFont#2",90,3,"LOLORITO"
1.167,30,,"CreditFont#3",90,3,"Hisashi Izumi"
1.168,30,,"CreditFont#3",90,3,"Simon Greenall"
1.169,30,,"CreditFont#3",90,3,"Bertrand Liebert"
1.170,30,,"CreditFont#3",90,3,"Roland Wolf"
1.171,580,,"CreditFont#2",90,3,"ENIGMATIC FIGURE"
1.172,30,,"CreditFont#3",90,3,"Yuma Uchida"
1.173,30,,"CreditFont#3",90,3,"Jonathan Bailey"
1.174,30,,"CreditFont#3",90,3,"Loïc Guingand"
1.175,30,,"CreditFont#3",90,3,"Marcus Off"
1.176,430,,"CreditFont#2",90,3,"SOLUS"
1.177,30,,"CreditFont#3",90,3,"Hiroki Takahashi"
1.178,30,,"CreditFont#3",90,3,"René Zagger"
1.179,30,,"CreditFont#3",90,3,"Eilias Changuel"
1.180,30,,"CreditFont#3",90,3,"Alexander Wolf"
1.181,1400,,"CreditFont#7",50,2,"Main Development Staff"
1.182,120,,"CreditFont#6",50,2,"Art Director"
1.183,40,,"CreditFont#4",50,2,"Hiroshi Minagawa"
1.184,90,,"CreditFont#6",50,2,"Main Scenario Writers"
1.185,40,,"CreditFont#4",50,2,"Banri Oda"
1.186,40,,"CreditFont#4",50,2,"Natsuko Ishikawa"
1.187,40,,"CreditFont#4",50,2,"Daichi Hiroi"
1.188,40,,"CreditFont#4",50,2,"Yuki Kimura"
1.189,90,,"CreditFont#6",50,2,"Lead Quest Designer"
1.190,40,,"CreditFont#4",50,2,"Takashi Kudo"
1.191,90,,"CreditFont#6",50,2,"Quest Designers"
1.192,40,,"CreditFont#4",50,2,"Yuta Fukuhara"
1.193,40,,"CreditFont#4",50,2,"Motoi Hasegawa"
1.194,40,,"CreditFont#4",50,2,"Ryunosuke Hattori"
1.195,40,,"CreditFont#4",50,2,"Masahiko Itani"
1.196,40,,"CreditFont#4",50,2,"Kazuyuki Kageyama"
1.197,40,,"CreditFont#4",50,2,"Tomohiro Kawasaki"
1.198,40,,"CreditFont#4",50,2,"Shoko Miyagawa"
1.199,40,,"CreditFont#4",50,2,"Taku Nishino"
1.200,40,,"CreditFont#4",50,2,"Megumi Onozuka"
1.201,40,,"CreditFont#4",50,2,"Koichi Saito"
1.202,40,,"CreditFont#4",50,2,"Go Sakamoto"
1.203,40,,"CreditFont#4",50,2,"Yuki Sakuyama"
1.204,40,,"CreditFont#4",50,2,"Maj Shirane Linna"
1.205,40,,"CreditFont#4",50,2,"Saki Takayanagi"
1.206,40,,"CreditFont#4",50,2,"Takeshi Tomioka"
1.207,40,,"CreditFont#4",50,2,"Ryo Tsurumaki"
1.208,40,,"CreditFont#4",50,2,"Kentaro Tsushima"
1.209,40,,"CreditFont#4",50,2,"Toru Ueda"
1.210,40,,"CreditFont#4",50,2,"Satoshi Yoshida"
1.211,90,,"CreditFont#6",50,2,"Lead Quest System Designer"
1.212,40,,"CreditFont#4",50,2,"Toshiaki Suzuki"
1.213,130,,"CreditFont#6",50,2,"Battle Director"
1.214,40,,"CreditFont#4",50,2,"Kei Sato"
1.215,90,,"CreditFont#6",50,2,"Lead Battle System Designer"
1.216,40,,"CreditFont#4",50,2,"Tsuyoshi Yokozawa"
1.217,90,,"CreditFont#6",50,2,"Battle System Designers"
1.218,40,,"CreditFont#4",50,2,"Takashi Kawamoto"
1.219,40,,"CreditFont#4",50,2,"Hikaru Tamaki"
1.220,90,,"CreditFont#6",50,2,"Assistant Battle System Designer"
1.221,40,,"CreditFont#4",50,2,"Hironori Isami"
1.222,130,,"CreditFont#6",50,2,"Lead Battle Content Designer"
1.223,40,,"CreditFont#4",50,2,"Masaki Nakagawa"
1.224,90,,"CreditFont#6",50,2,"Battle Content Designers"
1.225,40,,"CreditFont#4",50,2,"Cheng Kai Chen"
1.226,40,,"CreditFont#4",50,2,"Kazuhito Fukuda"
1.227,40,,"CreditFont#4",50,2,"Seishiro Hata"
1.228,40,,"CreditFont#4",50,2,"Masatoshi Ishikawa"
1.229,40,,"CreditFont#4",50,2,"Seiya Matsumoto"
1.230,40,,"CreditFont#4",50,2,"Sena Morita"
1.231,40,,"CreditFont#4",50,2,"Yoshito Nabeshima"
1.232,40,,"CreditFont#4",50,2,"Daisuke Nakagawa"
1.233,40,,"CreditFont#4",50,2,"Shingo Suzuki"
1.234,40,,"CreditFont#4",50,2,"Banri Takahashi"
1.235,130,,"CreditFont#6",50,2,"Lead Level Designer"
1.236,40,,"CreditFont#4",50,2,"Arata Takahashi"
1.237,90,,"CreditFont#6",50,2,"Level Designers"
1.238,40,,"CreditFont#4",50,2,"Noriaki Arai"
1.239,40,,"CreditFont#4",50,2,"Azusa Kamakura"
1.240,40,,"CreditFont#4",50,2,"Shinsuke Morimoto"
1.241,40,,"CreditFont#4",50,2,"Kenji Muraoka"
1.242,40,,"CreditFont#4",50,2,"Daichi Wakabayashi"
1.243,130,,"CreditFont#6",50,2,"Lead Non-Combat Content Designer"
1.244,40,,"CreditFont#4",50,2,"Yusuke Kigoshi"
1.245,90,,"CreditFont#6",50,2,"Non-Combat Content Designers"
1.246,40,,"CreditFont#4",50,2,"Yousuke Hayashi"
1.247,40,,"CreditFont#4",50,2,"Ryuta Suyama"
1.248,80,,"CreditFont#4",50,2,"Yuu Ikemoto"
1.249,40,,"CreditFont#4",50,2,"Hiroto Ishii"
1.250,40,,"CreditFont#4",50,2,"Misaki Kobanawa"
1.251,40,,"CreditFont#4",50,2,"Yoshihiro Kurosu"
1.252,40,,"CreditFont#4",50,2,"Masaaki Namiki"
1.253,40,,"CreditFont#4",50,2,"Genki Sugita"
1.254,130,,"CreditFont#6",50,2,"Lead UI Designer"
1.255,40,,"CreditFont#4",50,2,"Yuichi Murasawa"
1.256,90,,"CreditFont#6",50,2,"UI Designers"
1.257,40,,"CreditFont#4",50,2,"Yasushi Matsumura"
1.258,40,,"CreditFont#4",50,2,"Masaki Nakaoka"
