key,0
#,Quest
int32,Quest
0.0,
1.0,
2.0," 爆走ヒッポ、島を駆る"
2.1," 運送屋の新たな仕事"
2.2," 癒し癒されヒッポッポ"
2.3," オグルはマヌシャのふりをした！"
2.4," アルカソーダラとガジャースラ"
2.5," ヒッポライダーズ"
3.0,"解き放ち、空へ"
4.0,"マーチ・オブ・ザ・ブラッディ・クイーン"
5.0," 爆走ヒッポ、島を駆る"
5.1," 運送屋の新たな仕事"
5.2," 癒し癒されヒッポッポ"
5.3," オグルはマヌシャのふりをした！"
5.4," アルカソーダラとガジャースラ"
5.5," ヒッポライダーズ"
6.0,"電脳夢想 スティグマ・フォー"
6.1," 忘れられた大地の味"
6.2," ここで記憶する宇宙の味"
7.0,"星を救った英雄"
7.1,"月の「剣」"
7.2,"ヴォイドの月"
8.0,"星を救った英雄"
8.1,"長き時の記録"
8.2,"月の「剣」"
8.3,"ヴォイドの月"
9.0,"月の「剣」"
10.0,"ヴォイドの月"
11.0,"大地が鳴いた日"
12.0,"大地が鳴いた日"
12.1,"黄金のレガシー"
13.0,"惑う人々"
14.0," 新事業！ トラル旅行公司"
14.1," 来訪！ 最初の観光客"
14.2," 拓け！ 上流域観光の道"
14.3," 急募！ 旅行公司の新たな仲間"
14.4," 国賓！？ 外つ国からのお客様"
14.5," 夢追え！ トラル旅行公司"
