key,0,1,2
#,Icon,Name,Description
int32,Image,str,str
0,0,"",""
1,216801,"魔法効果：暗闇","味方全員の命中率が低下。"
2,216802,"魔法効果：最大ＨＰ低下","味方全員の最大ＨＰが低下。"
3,216803,"魔法効果：ダメージ低下","味方全員の与ダメージが低下。"
4,216804,"魔法効果：アビリティ使用不可","味方全員がアビリティ使用不可。"
5,216805,"魔法効果：ヘイスト","味方全員のオートアタックの攻撃間隔とウェポンスキル、および魔法のリキャストタイムが短縮。"
6,216806,"魔法効果：最大ＨＰ／ＭＰ上昇","味方全員の最大ＨＰと最大ＭＰが上昇。"
7,216807,"魔法効果：アイテム禁止","味方全員がアイテム、および特定の特殊アイテム使用不可。"
8,216808,"魔法効果：スプリント禁止","味方全員がスプリント使用不可。"
9,216809,"魔法効果：ノックバック禁止","敵味方問わず、ノックバック、および引き寄せ効果が無効。"
10,216810,"魔法効果：ＨＰ自然回復禁止","味方全員のＨＰ自然回復が無効。"
11,216811,"魔法効果：妖霧","妖霧に包まれた状態。すべての敵の与ダメージと移動速度が上昇し、被ダメージが低下。"
12,216812,"魔法効果：スプリント","味方全員の移動速度が上昇。"
13,216813,"魔法効果：魔石禁止","味方全員が魔石使用不可。"
14,216814,"魔法効果：デミクローン禁止","味方全員がデミクローン使用不可。"
15,216815,"魔法効果：ジュニパーの香禁止","味方全員がジュニパーの香使用不可。"
