key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27901,"",0,"",0,0,1,0,0,"魔土器:呪印解除","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>のトラップを、すべて消去する。",6259
2,27902,"",0,"",0,0,1,0,0,"魔土器:サイトロ","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>のマップをすべて開示し、トラップを可視化する。",6260
3,27903,"",0,"",0,0,1,0,0,"魔土器:自己強化","自身の与ダメージと回復魔法の回復量を30%上昇する。",6262
4,27904,"",0,"",0,0,1,0,0,"魔土器:防御強化","自身の被ダメージを40%軽減する。",6263
5,27905,"",0,"",0,0,1,0,0,"魔土器:宝箱増加","次の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>の宝箱配置数を増加する。",6264
6,27906,"",0,"",0,0,1,0,0,"魔土器:敵排除","次の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>の敵を減少させる。",6265
7,27907,"",0,"",0,0,1,0,0,"魔土器:敵変化","次の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>のいずれかの部屋の敵を、ミミックかマンドラゴラに変化させる。",6266
8,27908,"",0,"",0,0,1,0,0,"魔土器:解呪","ステータス「呪詛」を解除する。",6267
9,27909,"",0,"",0,0,1,0,0,"魔土器:運気上昇","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>において、敵を倒した際の宝箱出現率を上昇する。",6268
10,27910,"",0,"",0,0,1,0,0,"魔土器:形態変化","自身を中心にした範囲内に入った対象を、カエル、カッパ、ニワトリ状態にする。",6269
11,27911,"",0,"",0,0,1,0,0,"魔土器:魔法効果解除","現在の<Switch(PlayerParameter(109))><Case(1)>階層</Case><Case(2)>階層</Case><Case(3)>階層</Case><Case(4)>巡礼路</Case></Switch>の魔法効果を、すべて消去する。",6270
12,27912,"",0,"",0,0,1,0,0,"魔土器:マンティコア化","自身がマンティコアに変化する。",6271
13,27913,"",0,"",0,0,1,0,0,"魔土器:サキュバス化","自身がサキュバスに変化する。",6272
