key,0,1,2,3,4,5
#,Name,Icon,CastTime,Animation[0],Animation[1],Animation[2]
int32,str,Image,byte,ActionTimeline,ActionTimeline,ActionTimeline
0,"",1,0,0,0,0
1,"実行",19603,2,80,81,82
2,"実行",19603,2,80,81,82
3,"実行",19603,5,80,81,82
4,"実行",19603,10,80,81,82
5,"実行",19603,15,80,81,82
6,"実行",19603,2,80,81,82
7,"実行",19603,5,80,81,82
8,"実行",19603,10,80,81,82
9,"実行",19603,15,80,81,82
10,"待機",19604,2,175,176,177
11,"待機",19604,2,175,176,177
12,"待機",19604,5,175,176,177
13,"待機",19604,10,175,176,177
14,"実行",19603,2,80,81,82
15,"実行",19603,2,80,81,82
16,"実行",19603,5,80,81,82
17,"実行",19603,10,80,81,82
18,"実行",19603,2,80,81,82
19,"交感",19605,5,169,170,171
20,"探索",19603,1,80,81,82
21,"探索",19603,2,80,81,82
22,"探索",19603,5,80,81,82
23,"探索",19603,1,172,173,174
24,"探索",19603,2,172,173,174
25,"探索",19603,5,172,173,174
26,"救助",19603,2,184,185,186
27,"ホイッスル",19604,2,178,179,180
28,"見張り",19604,10,175,176,177
29,"記録",19603,1,172,173,174
30,"指笛",19603,2,178,179,180
31,"実行",19603,2,181,182,183
32,"実行",19603,5,181,182,183
33,"実行",19603,10,181,182,183
34,"救助",19603,2,184,185,186
35,"救助",19603,5,184,185,186
36,"救助",19603,10,184,185,186
37,"実行",19603,2,178,179,180
38,"救助",19603,2,172,173,174
39,"救助",19603,5,172,173,174
40,"救助",19603,10,172,173,174
41,"見渡す",19604,10,175,176,177
42,"縄をほどく",19603,10,181,182,183
43,"鎮める",19603,10,172,173,174
44,"鎮める",19603,10,184,185,186
45,"実行",19603,2,172,173,174
46,"実行",19603,5,172,173,174
47,"実行",19603,10,172,173,174
48,"イタズラをする",19603,5,181,182,183
49,"バルブを締める",19603,5,181,182,183
50,"見渡す",19604,5,175,176,177
51,"調整弁を開ける",19603,5,181,182,183
52,"実行",19603,1,80,81,82
53,"探索",19603,2,181,182,183
54,"探索",19603,5,181,182,183
55,"探索",19603,10,181,182,183
56,"見張り",19604,5,175,176,177
57,"占拠",19603,2,172,173,174
58,"占拠",19603,5,172,173,174
59,"占拠",19603,10,172,173,174
60,"交感",19603,5,172,173,174
61,"実行",19603,2,0,0,0
62,"探索",19603,8,80,81,82
63,"実行",19603,5,0,0,0
64,"実行",19603,0,0,0,0
65,"青燐水取得",19603,3,80,81,82
66,"占拠",19603,5,172,173,174
67,"搭乗",19603,2,172,173,174
68,"見渡す",19603,2,175,176,177
69,"実行",19603,1,172,173,174
70,"剥ぎ取り",19603,5,181,182,183
71,"召喚",19603,2,172,173,174
72,"介抱",19603,5,184,185,186
73,"治癒魔法",19673,5,0,5704,5705
74,"拾う",19603,3,80,81,82
75,"物資回収",19603,4,80,81,82
76,"物資加工",19603,7,0,7347,151
77,"資材組立",19603,10,0,7346,151
78,"資材投入",19603,10,172,173,174
79,"契約",19603,6,80,81,82
80,"投棄",19603,3,0,4189,12632
81,"破砕",19603,10,0,7364,151
82,"投入",19603,7,0,7365,151
83,"清掃",19603,10,0,7366,151
84,"物資回収",19603,4,184,185,186
85,"整地",19603,10,0,7399,151
86,"像に触れる",19603,2,172,173,174
87,"施工",19603,10,0,7394,151
88,"資材投入",19603,7,181,182,183
89,"物資回収",19603,10,80,81,82
90,"縫製",19603,10,0,7421,150
91,"運搬",19603,3,80,81,82
92,"納入",19603,2,0,4189,12632
93,"確認",19603,5,80,81,82
94,"騎乗",19603,2,172,173,174
95,"渡す",19603,3,0,4189,12632
96,"爆薬を仕掛ける",19603,5,181,182,183
97,"いただきます",19603,9,0,8436,0
98,"いただきます",19603,3,0,8436,0
99,"燃料注入",19603,3,0,208,12632
100,"感知",19603,5,0,155,0
101,"落ち着かせる",19603,5,172,173,174
102,"エーテルを分け与える",19603,5,172,173,174
103,"指笛",19603,3,178,179,180
104,"救助",19603,5,181,182,183
105,"探索",19603,3,181,182,183
106,"介抱",19603,5,172,173,174
107,"エーテルを流す",19603,5,169,170,171
108,"なだめる",19603,5,11987,11988,11989
109,"運搬",19603,1,0,0,0
110,"納品",19603,3,172,173,174
111,"ドリル垂直作業",19603,6,0,12261,12481
112,"ドリル水平作業",19603,6,0,12260,12474
113,"吸引",19603,6,0,12259,12474
114,"溶接",19603,6,0,12258,12474
115,"資材入手",19603,4,172,173,12473
116,"資材加工",19603,5,181,182,12480
117,"運搬",19603,6,80,81,82
118,"集積",19603,3,0,4189,12474
119,"回収",19603,4,181,182,12470
120,"エネルギー充填",19603,6,172,173,12471
121,"取付",19603,4,181,182,12472
122,"施工",19603,6,0,7394,12474
123,"食材入手",19603,1,181,182,183
124,"実行",19612,2,181,182,183
125,"溶接",19603,6,0,12425,12474
126,"ガラス冷却",19603,5,0,12424,12468
127,"冷却剤補給",19603,5,172,173,174
128,"ガラス冷却",19603,5,0,12467,12469
129,"ドリル垂直作業",19603,6,0,12261,12482
130,"剥ぎ取り",19603,3,12483,12484,12485
131,"",0,0,0,0,0
132,"ピクトバルーン",19730,3,12520,12521,12522
133,"ピクトノッケン",19730,3,12523,12524,12525
134,"",0,0,0,0,0
135,"",0,0,0,0,0
136,"",0,0,0,0,0
137,"",0,0,0,0,0
138,"",0,0,0,0,0
139,"",0,0,0,0,0
140,"",0,0,0,0,0
141,"",0,0,0,0,0
142,"",0,0,0,0,0
143,"",0,0,0,0,0
144,"",0,0,0,0,0
