key,0,1,2,3,4,5,6,7,8,9
#,Name,Description,,Action,UnlockLink,Recast,UIPriority,Icon,,
int32,str,str,byte,Action,uint16,byte,byte,Image,bit&01,bit&02
0,"","",0,"",0,0,0,,False,False
1,"オートアタック","一定間隔で自動的に通常攻撃をし続ける。",1,"",0,0,7,"ui/icon/000000/000101.tex",False,False
2,"ジャンプ","ジャンプすることで少しくらいの段差は乗り越えることができる。",1,"",0,0,11,"ui/icon/000000/000102.tex",False,False
3,"リミットブレイク","リミットゲージを消費して、強力なリミットブレイクを発動する。
発動するリミットブレイクは、クラスのロールと実行した際のリミットブレイクレベルによって異なる。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>盾役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>パーティメンバー全員にダメージ軽減を付与する。
（範囲：50m）
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>近接攻撃役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>敵単体に大ダメージを与える。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>遠隔攻撃役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>前方直線範囲内の敵に大ダメージを与える。
（範囲：30m）
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>魔法攻撃役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>地面を対象に、範囲内の敵に大ダメージを与える。（範囲：8m／10m／15m）
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>回復役：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>パーティメンバー全員のHPを回復する。
さらにレベル3では蘇生する。
この際、蘇生対象が衰弱状態ではない場合、衰弱を付与せずに蘇生する。蘇生対象が衰弱状態の場合、衰弱の効果時間をリセットして蘇生する。（範囲：50m）",1,"",0,0,4,"ui/icon/000000/000103.tex",False,False
4,"スプリント","自身の移動速度を上昇させる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>戦闘中効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>10秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>非戦闘中効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20秒
※PvPコンテンツ内では実行することはできない。",1,"スプリント",0,56,1,"ui/icon/000000/000104.tex",False,False
5,"分解","アイテムを解体し、再利用できる素材を取り出す。",2,"",95,0,51,"ui/icon/000000/000120.tex",False,True
6,"修理","装備品の耐久度を回復させる。
触媒として装備レベルに応じたダークマターが必要。",2,"",0,0,31,"ui/icon/000000/000106.tex",False,True
7,"テレポ","ギルを消費して、訪れたことのあるエーテライトまで転移する。",1,"テレポ",4,0,2,"ui/icon/000000/000111.tex",False,True
8,"デジョン","ホームポイント登録した場所まで転移する。",1,"デジョン",1,57,3,"ui/icon/000000/000112.tex",False,True
9,"マウント・ルーレット","ランダムにマウントを呼び出す。",1,"",0,0,21,"ui/icon/000000/000118.tex",False,False
10,"ミニオン・ルーレット","ランダムにミニオンを呼び出す。",1,"",0,0,23,"ui/icon/000000/000117.tex",False,False
11,"","",0,"",0,0,0,,False,False
12,"マテリア装着","装備品に思念結晶体マテリアを装着し、強化する。",2,"",11,0,33,"ui/icon/000000/000107.tex",False,True
13,"マテリア装着II","装備品に思念結晶体マテリアを装着し、強化する。
失敗の危険性を伴うが、マテリア穴の個数を超えた装着も可能。",2,"",12,0,34,"ui/icon/000000/000108.tex",False,True
14,"マテリア精製","物質に宿った思念のエーテルを抽出し、結晶（マテリア）化する。",2,"",13,0,32,"ui/icon/000000/000109.tex",False,True
15,"染色","カララントを消費して、装備品の色を変更する。",2,"",14,0,41,"ui/icon/000000/000110.tex",False,True
16,"ターゲット・順送り","一番近い敵から順送りにターゲットする。",3,"",0,0,12,"ui/icon/000000/000113.tex",False,True
17,"ターゲット・逆送り","一番近い敵から逆送りにターゲットする。",3,"",0,0,13,"ui/icon/000000/000114.tex",False,True
18,"設置","手に持っているアイテムをその場に置く。",1,"",0,0,0,"ui/icon/061000/061112.tex",False,False
19,"ディサイファー","古ぼけた地図を解読する。",1,"ディサイファー",25,0,61,"ui/icon/000000/000115.tex",False,False
20,"ディグ","宝の地図に記された宝箱があるかどうか、周囲を探る。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>範囲：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>半径30ｍ",1,"ディグ",25,67,62,"ui/icon/000000/000116.tex",False,False
21,"精選","採集した収集品を選りすぐり、新たなアイテムを発見する。",2,"",256,0,52,"ui/icon/000000/000121.tex",False,True
22,"武具投影","ミラージュプリズムを消費して、装備品の外見を変更する。",2,"",15,0,42,"ui/icon/000000/000119.tex",False,True
23,"降りる","マウントから降りる。",1,"",0,0,0,"ui/icon/061000/061128.tex",False,False
24,"フライングマウント・ルーレット","ランダムに飛行可能なマウントを呼び出す。",1,"",0,0,0,"ui/icon/000000/000122.tex",False,False
25,"ミラージュプレート","複数の装備品を一括して武具投影する。",2,"",15,0,43,"ui/icon/000000/000125.tex",False,True
26,"コンテンツアクション1","ダンジョンや蛮神戦などのコンテンツに応じたアクションを実行する。",1,"",0,0,1,"ui/icon/000000/000123.tex",True,False
27,"コンテンツアクション2","ダンジョンや蛮神戦などのコンテンツに応じたアクションを実行する。",1,"",0,0,2,"ui/icon/000000/000124.tex",True,False
28,"しまう","ファッションアクセサリーをしまう。",1,"",0,0,0,"ui/icon/061000/061188.tex",False,False
29,"EXホットバー・アクション並び替え","EXホットバーに設定されているアクションの並びを変更する。",1,"",0,0,0,"ui/icon/061000/061192.tex",False,True
30,"EXホットバー・アクション並び替え","EXホットバーに設定されているアクションの並びを変更する。",1,"",0,0,0,"ui/icon/061000/061192.tex",False,True
31,"サポートアクション1","コンテンツに応じたアクションを実行する。",1,"",537,0,3,"ui/icon/000000/000126.tex",True,False
32,"サポートアクション2","コンテンツに応じたアクションを実行する。",1,"",537,0,4,"ui/icon/000000/000127.tex",True,False
33,"サポートアクション3","コンテンツに応じたアクションを実行する。",1,"",537,0,5,"ui/icon/000000/000128.tex",True,False
34,"サポートアクション4","コンテンツに応じたアクションを実行する。",1,"",537,0,6,"ui/icon/000000/000129.tex",True,False
35,"サポートアクション5","コンテンツに応じたアクションを実行する。",1,"",537,0,7,"ui/icon/000000/000130.tex",True,False
36,"ターゲット・攻撃","攻撃1～8が設定された対象をターゲットする。
ターゲット対象が複数存在する場合は一番小さい番号をターゲットする。",2,"",0,0,14,"ui/icon/000000/000133.tex",False,True
37,"ターゲット・足止め","足止め1～3が設定された対象をターゲットする。
ターゲット対象が複数存在する場合は一番小さい番号をターゲットする。",2,"",0,0,15,"ui/icon/000000/000134.tex",False,True
38,"ターゲット・禁止","禁止1～2が設定された対象をターゲットする。
ターゲット対象が複数存在する場合は一番小さい番号をターゲットする。",2,"",0,0,16,"ui/icon/000000/000135.tex",False,True
39,"ターゲット・汎用シカク","汎用シカクが設定された対象をターゲットする。",2,"",0,0,17,"ui/icon/000000/000136.tex",False,True
40,"ターゲット・汎用マル","汎用マルが設定された対象をターゲットする。",2,"",0,0,18,"ui/icon/000000/000137.tex",False,True
41,"ターゲット・汎用プラス","汎用プラスが設定された対象をターゲットする。",2,"",0,0,19,"ui/icon/000000/000138.tex",False,True
42,"ターゲット・汎用サンカク","汎用サンカクが設定された対象をターゲットする。",2,"",0,0,20,"ui/icon/000000/000139.tex",False,True
