key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,uint32,int16,int32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,0,-1,0,0,"",0,"",0,0,1,0,0,"",""
1,71037,0,200049,0,"オーバルグラス",0,"",0,0,1,0,0,"カラー：プレーンのフェイスアクセサリー","オーバルグラス"
2,136573,0,200053,0,"オーバルグラス:シルバー",0,"",0,0,1,0,0,"カラー：シルバーのフェイスアクセサリー","オーバルグラス:シルバー"
3,202109,0,200052,0,"オーバルグラス:ゴールド",0,"",0,0,1,0,0,"カラー：ゴールドのフェイスアクセサリー","オーバルグラス:ゴールド"
4,267645,0,200054,0,"オーバルグラス:ブラック",0,"",0,0,1,0,0,"カラー：ブラックのフェイスアクセサリー","オーバルグラス:ブラック"
5,333181,0,200059,0,"オーバルグラス:ホワイト",0,"",0,0,1,0,0,"カラー：ホワイトのフェイスアクセサリー","オーバルグラス:ホワイト"
6,398717,0,200050,0,"オーバルグラス:グレー",0,"",0,0,1,0,0,"カラー：グレーのフェイスアクセサリー","オーバルグラス:グレー"
7,464253,0,200057,0,"オーバルグラス:レッド",0,"",0,0,1,0,0,"カラー：レッドのフェイスアクセサリー","オーバルグラス:レッド"
8,529789,0,200056,0,"オーバルグラス:ブルー",0,"",0,0,1,0,0,"カラー：ブルーのフェイスアクセサリー","オーバルグラス:ブルー"
9,595325,0,200060,0,"オーバルグラス:グリーン",0,"",0,0,1,0,0,"カラー：グリーンのフェイスアクセサリー","オーバルグラス:グリーン"
10,660861,0,200051,0,"オーバルグラス:ブラス",0,"",0,0,1,0,0,"カラー：ブラスのフェイスアクセサリー","オーバルグラス:ブラス"
11,726397,0,200055,0,"オーバルグラス:パープル",0,"",0,0,1,0,0,"カラー：パープルのフェイスアクセサリー","オーバルグラス:パープル"
12,791933,0,200058,0,"オーバルグラス:ブラウン",0,"",0,0,1,0,0,"カラー：ブラウンのフェイスアクセサリー","オーバルグラス:ブラウン"
13,71038,1,200085,0,"シェイデッドグラス",0,"",0,0,1,0,0,"カラー：プレーンのフェイスアクセサリー","シェイデッドグラス"
14,136574,1,200089,0,"シェイデッドグラス:シルバー",0,"",0,0,1,0,0,"カラー：シルバーのフェイスアクセサリー","シェイデッドグラス:シルバー"
15,202110,1,200088,0,"シェイデッドグラス:ゴールド",0,"",0,0,1,0,0,"カラー：ゴールドのフェイスアクセサリー","シェイデッドグラス:ゴールド"
16,267646,1,200090,0,"シェイデッドグラス:ブラック",0,"",0,0,1,0,0,"カラー：ブラックのフェイスアクセサリー","シェイデッドグラス:ブラック"
17,333182,1,200095,0,"シェイデッドグラス:ホワイト",0,"",0,0,1,0,0,"カラー：ホワイトのフェイスアクセサリー","シェイデッドグラス:ホワイト"
18,398718,1,200086,0,"シェイデッドグラス:グレー",0,"",0,0,1,0,0,"カラー：グレーのフェイスアクセサリー","シェイデッドグラス:グレー"
19,464254,1,200093,0,"シェイデッドグラス:レッド",0,"",0,0,1,0,0,"カラー：レッドのフェイスアクセサリー","シェイデッドグラス:レッド"
20,529790,1,200092,0,"シェイデッドグラス:ブルー",0,"",0,0,1,0,0,"カラー：ブルーのフェイスアクセサリー","シェイデッドグラス:ブルー"
21,595326,1,200096,0,"シェイデッドグラス:グリーン",0,"",0,0,1,0,0,"カラー：グリーンのフェイスアクセサリー","シェイデッドグラス:グリーン"
22,660862,1,200087,0,"シェイデッドグラス:ブラス",0,"",0,0,1,0,0,"カラー：ブラスのフェイスアクセサリー","シェイデッドグラス:ブラス"
23,726398,1,200091,0,"シェイデッドグラス:パープル",0,"",0,0,1,0,0,"カラー：パープルのフェイスアクセサリー","シェイデッドグラス:パープル"
24,791934,1,200094,0,"シェイデッドグラス:ブラウン",0,"",0,0,1,0,0,"カラー：ブラウンのフェイスアクセサリー","シェイデッドグラス:ブラウン"
25,71039,2,200061,0,"クラシックグラス",0,"",0,0,1,0,0,"カラー：プレーンのフェイスアクセサリー","クラシックグラス"
26,136575,2,200065,0,"クラシックグラス:シルバー",0,"",0,0,1,0,0,"カラー：シルバーのフェイスアクセサリー","クラシックグラス:シルバー"
27,202111,2,200064,0,"クラシックグラス:ゴールド",0,"",0,0,1,0,0,"カラー：ゴールドのフェイスアクセサリー","クラシックグラス:ゴールド"
28,267647,2,200066,0,"クラシックグラス:ブラック",0,"",0,0,1,0,0,"カラー：ブラックのフェイスアクセサリー","クラシックグラス:ブラック"
29,333183,2,200071,0,"クラシックグラス:ホワイト",0,"",0,0,1,0,0,"カラー：ホワイトのフェイスアクセサリー","クラシックグラス:ホワイト"
30,398719,2,200062,0,"クラシックグラス:グレー",0,"",0,0,1,0,0,"カラー：グレーのフェイスアクセサリー","クラシックグラス:グレー"
31,464255,2,200069,0,"クラシックグラス:レッド",0,"",0,0,1,0,0,"カラー：レッドのフェイスアクセサリー","クラシックグラス:レッド"
32,529791,2,200068,0,"クラシックグラス:ブルー",0,"",0,0,1,0,0,"カラー：ブルーのフェイスアクセサリー","クラシックグラス:ブルー"
33,595327,2,200072,0,"クラシックグラス:グリーン",0,"",0,0,1,0,0,"カラー：グリーンのフェイスアクセサリー","クラシックグラス:グリーン"
34,660863,2,200063,0,"クラシックグラス:ブラス",0,"",0,0,1,0,0,"カラー：ブラスのフェイスアクセサリー","クラシックグラス:ブラス"
35,726399,2,200067,0,"クラシックグラス:パープル",0,"",0,0,1,0,0,"カラー：パープルのフェイスアクセサリー","クラシックグラス:パープル"
36,791935,2,200070,0,"クラシックグラス:ブラウン",0,"",0,0,1,0,0,"カラー：ブラウンのフェイスアクセサリー","クラシックグラス:ブラウン"
37,71040,3,200013,0,"ローズカラースペクタクルズ",0,"",0,0,1,0,0,"カラー：プレーンのフェイスアクセサリー","ローズカラースペクタクルズ"
38,136576,3,200017,0,"ローズカラースペクタクルズ:シルバー",0,"",0,0,1,0,0,"カラー：シルバーのフェイスアクセサリー","ローズカラースペクタクルズ:シルバー"
39,202112,3,200016,0,"ローズカラースペクタクルズ:ゴールド",0,"",0,0,1,0,0,"カラー：ゴールドのフェイスアクセサリー","ローズカラースペクタクルズ:ゴールド"
40,267648,3,200018,0,"ローズカラースペクタクルズ:ブラック",0,"",0,0,1,0,0,"カラー：ブラックのフェイスアクセサリー","ローズカラースペクタクルズ:ブラック"
41,333184,3,200023,0,"ローズカラースペクタクルズ:ホワイト",0,"",0,0,1,0,0,"カラー：ホワイトのフェイスアクセサリー","ローズカラースペクタクルズ:ホワイト"
