key,0,1
#,GuideTitle,GuidePage
int32,GuideTitle,GuidePage
0,"","GuidePage#0"
1,"JOB HUD INFO","GuidePage#1"
2,"JOB HUD INFO","GuidePage#2"
3,"JOB HUD INFO","GuidePage#3"
4,"JOB HUD INFO","GuidePage#4"
5,"JOB HUD INFO","GuidePage#5"
6,"JOB HUD INFO","GuidePage#6"
7,"JOB HUD INFO","GuidePage#7"
8,"JOB HUD INFO","GuidePage#8"
9,"JOB HUD INFO","GuidePage#9"
10,"JOB HUD INFO","GuidePage#10"
11,"JOB HUD INFO","GuidePage#11"
12,"JOB HUD INFO","GuidePage#12"
13,"JOB HUD INFO","GuidePage#13"
14,"JOB HUD INFO","GuidePage#14"
15,"JOB HUD INFO","GuidePage#24"
16,"JOB HUD INFO","GuidePage#25"
17,"JOB HUD INFO","GuidePage#49"
18,"JOB HUD INFO","GuidePage#26"
19,"JOB HUD INFO","GuidePage#27"
20,"JOB HUD INFO","GuidePage#28"
21,"JOB HUD INFO","GuidePage#29"
22,"JOB HUD INFO","GuidePage#56"
23,"JOB HUD INFO","GuidePage#30"
24,"JOB HUD INFO","GuidePage#31"
25,"JOB HUD INFO","GuidePage#41"
26,"JOB HUD INFO","GuidePage#42"
27,"JOB HUD INFO","GuidePage#43"
28,"JOB HUD INFO","GuidePage#44"
29,"JOB HUD INFO","GuidePage#45"
30,"JOB HUD INFO","GuidePage#65"
31,"JOB HUD INFO","GuidePage#46"
32,"JOB HUD INFO","GuidePage#47"
33,"JOB HUD INFO","GuidePage#58"
34,"JOB HUD INFO","GuidePage#59"
35,"JOB HUD INFO","GuidePage#60"
36,"JOB HUD INFO","GuidePage#61"
37,"JOB HUD INFO","GuidePage#62"
38,"JOB HUD INFO","GuidePage#63"
39,"JOB HUD INFO","GuidePage#64"
40,"JOB HUD INFO","GuidePage#15"
41,"JOB HUD INFO","GuidePage#16"
42,"JOB HUD INFO","GuidePage#50"
43,"JOB HUD INFO","GuidePage#19"
44,"JOB HUD INFO","GuidePage#18"
45,"JOB HUD INFO","GuidePage#51"
46,"JOB HUD INFO","GuidePage#52"
47,"JOB HUD INFO","GuidePage#20"
48,"JOB HUD INFO","GuidePage#21"
49,"JOB HUD INFO","GuidePage#53"
50,"JOB HUD INFO","GuidePage#22"
51,"JOB HUD INFO","GuidePage#23"
52,"JOB HUD INFO","GuidePage#32"
53,"JOB HUD INFO","GuidePage#33"
54,"JOB HUD INFO","GuidePage#34"
55,"JOB HUD INFO","GuidePage#35"
56,"JOB HUD INFO","GuidePage#36"
57,"JOB HUD INFO","GuidePage#57"
58,"JOB HUD INFO","GuidePage#66"
59,"JOB HUD INFO","GuidePage#67"
60,"JOB HUD INFO","GuidePage#54"
61,"JOB HUD INFO","GuidePage#55"
62,"JOB HUD INFO","GuidePage#37"
63,"JOB HUD INFO","GuidePage#38"
64,"JOB HUD INFO","GuidePage#39"
65,"JOB HUD INFO","GuidePage#40"
66,"JOB HUD INFO","GuidePage#68"
67,"JOB HUD INFO","GuidePage#69"
68,"JOB HUD INFO","GuidePage#70"
69,"JOB HUD INFO","GuidePage#71"
70,"JOB HUD INFO","GuidePage#72"
71,"JOB HUD INFO","GuidePage#73"
72,"JOB HUD INFO","GuidePage#80"
73,"JOB HUD INFO","GuidePage#81"
74,"JOB HUD INFO","GuidePage#82"
75,"JOB HUD INFO","GuidePage#83"
76,"JOB HUD INFO","GuidePage#84"
77,"JOB HUD INFO","GuidePage#85"
78,"JOB HUD INFO","GuidePage#86"
79,"JOB HUD INFO","GuidePage#87"
