key,0,1,2
#,Key,,Output
int32,byte,bit&01,Row
0.0,0,False,
1.1,1,True,"オウスゲージ"
1.2,3,True,
1.3,4,False,"アクション<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「アイアンウィル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得したことにより、その発動状態を示すシンボルが表示されるようになりました！
敵視を集めたいときにはアイアンウィルを実行しましょう！"
1.4,2,False,
1.5,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ジョブHUDの解説はアクションリストからいつでも確認できます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2.1,1,True,"オウスゲージ"
2.2,3,True,
2.3,4,False,"特性<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「忠義マスタリー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得すると、アイアンウィルの状態の他に
ナイトの<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>“オウス（忠義）”<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を示す<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「オウスゲージ」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>が表示されるようになります。
オウスはオートアタックの命中時に蓄積され、オウスを消費して<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「シェルトロン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>や、レベル45で修得する<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「かばう」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、レベル62で修得する<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「インターベンション」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を実行できます。"
2.4,2,False,
2.5,3,False,
2.6,4,False,"アクション<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「アイアンウィル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得したことにより、その発動状態を示すシンボルが表示されるようになりました！
敵視を集めたいときにはアイアンウィルを実行しましょう！"
2.7,2,False,
2.8,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ジョブHUDの解説はアクションリストからいつでも確認できます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3.1,1,True,"ビーストゲージ"
3.2,3,True,
3.3,4,False,"アクション<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ディフェンダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得したことにより、その発動状態を示すシンボルが表示されるようになりました！
敵視を集めたいときにはディフェンダーを実行しましょう！"
3.4,2,False,
3.5,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ジョブHUDの解説はアクションリストからいつでも確認できます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
4.1,1,True,"ビーストゲージ"
4.2,3,True,
4.3,4,False,"特性<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「インナービースト」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得したことにより、ディフェンダーの状態の他に
戦士の内なる野性を表す<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>“インナービースト”<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を示す<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ビーストゲージ」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>が
表示されるようになりました！
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「原初の魂」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>や、レベル45で修得する<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「スチールサイクロン」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>などは、
蓄積したインナービーストを消費することで実行可能です。
インナービーストは特定のアクションを実行することで蓄積されていきます。"
4.4,2,False,
4.5,3,False,
4.6,4,False,"アクション<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ディフェンダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得したことにより、その発動状態を示すシンボルが表示されるようになりました！
敵視を集めたいときにはディフェンダーを実行しましょう！"
4.7,2,False,
4.8,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ジョブHUDの解説はアクションリストからいつでも確認できます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
5.1,1,True,"ブラッドゲージ"
5.2,3,True,
5.3,4,False,"アクション<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「グリットスタンス」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を修得したことにより、その発動状態を示すシンボルが表示されるようになりました！
敵視を集めたいときにはグリットスタンスを実行しましょう！"
5.4,2,False,
5.5,4,False,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ジョブHUDの解説はアクションリストからいつでも確認できます。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6.1,1,True,"ダークサイドシンボル"
6.2,3,True,
