key,0,1,2,3,4,5,6
#,,,,,,,
int32,uint16,byte,uint32,uint32,uint16,uint32,str
0,0,0,0,0,0,0,""
1,219,0,0,0,76,73801,"おっとりとしているが、芯の強そうな角尊の女性"
2,220,0,1,0,76,73802,"揺るぎない信念と自信に満ちた、ルガディンの女性"
3,221,0,2,0,76,73803,"勇猛で闘志溢れる、ヒューランの男性"
4,222,0,3,0,76,73804,"桃色の髪が可愛らしい、高貴なララフェルの女性"
5,355,0,4,66054,91,73805,"魔導技術に長け、部下から慕われるガレアンの男性"
6,354,0,5,66737,91,73806,"野心が強く、つかみどころがないガレアンの男性"
7,532,0,6,66737,152,73807,"暁の金庫番に恋する、技術者のララフェルの男性"
8,533,0,7,66737,152,73808,"相棒とともに帝国を出奔した技術者のルガディンの男性"
9,356,0,8,66737,91,73809,"赤髪と紅い瞳を持つ、ミコッテの男性"
10,395,0,9,66046,105,73810,"秘密結社を盟主として導く、ヒューランの女性"
11,392,0,10,70058,105,73811,"属州人ながら陣営隊長を務めた、ルガディンの男性"
12,391,0,11,66729,105,73812,"歌姫として名を馳せた、魅力的なミコッテの女性"
13,393,0,12,66740,105,73813,"大胆不敵で素敵な紳士のヒューランの男性"
14,394,0,13,66740,105,73814,"紳士な事件屋の助手を務める、ミコッテの女性"
15,508,0,14,66740,142,73815,"エオルゼア最強の彫金師と呼ばれる、ヒューランの男性"
16,507,0,15,66045,142,73816,"秘密結社の金庫番であるララフェルの女性"
17,484,0,99,70058,132,73817,"新生を果たしたヒューランの男性"
18,217,1,0,67205,76,73818,"黒髪で蒼い瞳に強い意志が宿る、エレゼンの男性"
19,357,1,1,67205,91,73819,"正義感が強く凛々しい、ハーフエレゼンの女性"
20,218,1,2,67699,76,73820,"黄色の耳付きローブをまとった、ララフェルの女性"
21,358,1,3,68089,91,73821,"類まれな槍さばきを誇る、孤高のエレゼンの男性"
22,359,1,4,67740,91,73822,"空賊を率い、自由を愛するヒューランの男性"
23,534,1,5,67910,152,73823,"自由な相棒の尻拭い役を務める、空賊のヒューランの女性"
24,535,1,6,67910,152,73824,"空賊の技術担当を務める、ララフェルの女性"
25,482,1,7,67205,132,73825,"噂好きの、高貴なエレゼンの男性"
26,483,1,99,67205,132,73826,"蒼天が似合うヒューランの男性"
27,214,2,0,68089,76,73827,"潔くも大らかな、東方のヒューランの男性"
28,215,2,1,68089,76,73828,"忍びの技に長け、忠義を尽くすアウラの女性"
29,213,2,2,68089,76,73829,"尊大にして武勇に優れた、独り身のアウラの男性"
30,212,2,3,68089,76,73830,"勝ち気で豪快な、誇り高きアウラの女性"
31,211,2,4,68089,76,73831,"可憐で儚げな、神託に従って生きるアウラの女性"
32,216,2,5,68089,76,73832,"真紅の衣装をまとい、体術に長けたヒューランの女性"
33,536,2,6,68089,152,73833,"紅玉海の海賊衆を束ねる、ルガディンの男性"
34,537,2,7,68089,152,73834,"海賊衆の副頭領として長を支える、ヒューランの男性"
35,361,2,8,68702,91,73835,"聖獣に慕われていた、かつての英雄であるヒューランの男性"
36,360,2,9,68610,91,73836,"全権大使を務める、感情的なヒューランの男性"
37,478,2,10,68717,132,73837,"闇の使徒を討たんとする、ガレアンの男性"
38,479,2,11,68725,132,73838,"賢人位を持つ、非常に博識なアウラの女性"
39,480,2,98,68089,132,73839,"紅蓮が似合う、体術自慢のヒューランの男性"
40,481,2,99,68089,132,73840,"紅蓮が似合う、刀を携えたヒューランの男性"
41,362,3,0,69190,91,73841,"魔女を名乗る、聡明なミコッテの女性"
42,364,3,1,69190,91,73842,"星を読み運命を切り開く、寡黙なエレゼンの男性"
43,363,3,2,69190,91,73843,"ガンブレードを操る、勇ましいヒューランの男性"
44,365,3,3,69190,91,73844,"数奇な運命を背負う、青すぎる瞳を持つヒューランの少女"
45,473,3,4,69552,132,73845,"首領代行として海賊をまとめる、ヒューランの男性"
46,474,3,5,69487,132,73846,"魔獣使いとして知られる、ヒューランの男性"
47,475,3,6,69620,132,73847,"名門魔獣使いの家名を持つ、我執のララフェルの女性"
48,476,3,7,69568,132,73848,"帝国軍団長を務める、執念深いガレアンの男性"
49,477,3,99,69190,132,73849,"漆黒が似合うヒューランの男性"
50,464,4,0,70000,132,73850,"哲学者議会の有力議員である、エレゼンの男性"
51,469,4,1,70000,132,73851,"福祉団体の主宰を務める、心優しきエレゼンの女性"
52,470,4,2,70000,132,73852,"瓦礫の祖国で復興に尽力する、ガレアンの男性"
53,471,4,3,70000,132,73853,"世界中を飛び回り目的の品を集める、ヴィエラの男性"
54,509,4,4,70269,142,73854,"東方の名品収集を趣味とする、ヒューランの男性"
55,510,4,5,70199,142,73855,"古の大魔道士の魂を身に宿した、ミコッテの女性"
56,538,4,6,70286,152,73856,"ヴォイドに消えた姉と再会した、七大天竜の戦闘用の写し身"
57,539,4,7,70336,152,73857,"照れ屋だが計算力に長けた、大胆不敵な紳士の複製"
58,472,4,99,70000,132,73858,"暁月が似合うヒューランの男性"
59,570,5,0,70495,164,73859,"黄金郷にたどり着き武王となった、ロスガルの女性"
60,571,5,1,70495,164,73860,"妹を支える理王となった、ミコッテの男性"
61,572,5,99,70495,164,73861,"黄金が似合うヒューランの男性"
62,573,5,2,70495,164,73862,"絵筆を持って戦い、自らの出自を知ったララフェルの女性"
63,574,4,8,70328,164,73863,"十二の神々の想いを胸に、旅を続けるヒューランの男性"
64,575,4,9,70286,164,73864,"闇に覆われた世界から来た、鎌を持つ半妖の女性"
65,576,3,8,69190,164,73865,"夜を愛する森に暮らし、魔女を敬愛するロスガルの男性"
66,577,2,12,68725,164,73866,"影の英雄の名を与えられた、ハーフガレアンの少年"
67,578,2,13,68725,164,73867,"英雄の妹の名を与えられた、ハーフガレアンの少女"
68,579,2,14,68725,164,73868,"劇団の主宰を務め、伝承を追い求めるガレアンの男性"
