key,0,1,2,3
#,,,,
int32,uint16,int32,str,str
0,1,0,"",""
1,282,82107,"ミスト・ヴィレッジスタイル","ラノシア様式の小型住宅向けの建築スタイル
潮風への対策がしっかりと施されている"
2,283,82108,"ミスト・ヴィレッジスタイル","ラノシア様式の中型住宅向けの建築スタイル
潮風への対策がしっかりと施されている"
3,284,82109,"ミスト・ヴィレッジスタイル","ラノシア様式の大型住宅向けの建築スタイル
潮風への対策がしっかりと施されている"
4,342,82104,"ラベンダーベッドスタイル","黒衣森様式の小型住宅向けの建築スタイル
黒衣森の森林資源が活用されている"
5,343,82105,"ラベンダーベッドスタイル","黒衣森様式の中型住宅向けの建築スタイル
黒衣森の森林資源が活用されている"
6,344,82106,"ラベンダーベッドスタイル","黒衣森様式の大型住宅向けの建築スタイル
黒衣森の森林資源を活用されている"
7,345,82101,"ゴブレットビュートスタイル","ザナラーン様式の小型住宅向けの建築スタイル
昼夜の温度差を気にせず過ごせるよう工夫されている"
8,346,82102,"ゴブレットビュートスタイル","ザナラーン様式の中型住宅向けの建築スタイル
昼夜の温度差を気にせず過ごせるよう工夫されている"
9,347,82103,"ゴブレットビュートスタイル","ザナラーン様式の大型住宅向けの建築スタイル
昼夜の温度差を気にせず過ごせるよう工夫されている"
10,649,82113,"シロガネスタイル","東方様式の小型住宅向けの建築スタイル
四季の移り変わりに適した工夫が凝らされている"
11,650,82114,"シロガネスタイル","東方様式の中型住宅向けの建築スタイル
四季の移り変わりに適した工夫が凝らされている"
12,651,82115,"シロガネスタイル","東方様式の大型住宅向けの建築スタイル
四季の移り変わりに適した工夫が凝らされている"
13,980,82110,"エンピレアムスタイル","クルザス様式の小型住宅向けの建築スタイル
厳しい寒さを耐え抜くための住宅機能が整っている"
14,981,82111,"エンピレアムスタイル","クルザス様式の中型住宅向けの建築スタイル
厳しい寒さを耐え抜くための住宅機能が整っている"
15,982,82112,"エンピレアムスタイル","クルザス様式の大型住宅向けの建築スタイル
厳しい寒さを耐え抜くための住宅機能が整っている"
16,1249,82116,"シンプルスタイル","小型住宅向けのシンプルな内装
特殊な建築技法で柱や梁の数を減らし、スッキリとした見た目を実現している"
17,1250,82117,"シンプルスタイル","中型住宅向けのシンプルな内装
特殊な建築技法で柱や梁の数を減らし、スッキリとした見た目を実現している"
18,1251,82118,"シンプルスタイル","大型住宅向けのシンプルな内装
特殊な建築技法で柱や梁の数を減らし、スッキリとした見た目を実現している"
