key,0
#,SpecialShop
int32,SpecialShop
0.0,""
1.0,"【ILv100～115】蛮神装備"
1.1,"【ILv110】ゲロルトの名品"
1.2,"【ILv130】ガーロンド装備"
2.0,"【ILv100～115】蛮神装備"
2.1,"【ILv110】ゲロルトの名品"
2.2,"【ILv130】ガーロンド装備"
3.0,"【ILv100～115】蛮神装備"
3.1,"【ILv110】ゲロルトの名品"
3.2,"【ILv130】ガーロンド装備"
4.0,"【ILv100～115】蛮神装備"
4.1,"【ILv110】ゲロルトの名品"
4.2,"【ILv130】ガーロンド装備"
5.0,"【ILv100～115】蛮神装備"
5.1,"【ILv110】ゲロルトの名品"
5.2,"【ILv130】ガーロンド装備"
6.0,"【ILv100～115】蛮神装備"
6.1,"【ILv110】ゲロルトの名品"
6.2,"【ILv130】ガーロンド装備"
7.0,"【ILv100～115】蛮神装備"
7.1,"【ILv110】ゲロルトの名品"
7.2,"【ILv130】ガーロンド装備"
8.0,"特殊武器関連アイテム"
8.1,"雑貨"
8.2,"マテリア（その1）"
8.3,"マテリア（その2）"
9.0,"【ILv55】職人向け装備"
10.0,"秘伝書（その1）"
10.1,"秘伝書（その2）"
10.2,"マテリア"
11.0,"【ILv55】職人向け装備"
12.0,"マテリア"
13.0,"【ILv175～265】蛮神装備"
13.1,"【ILv190】プロトゴルド装備"
13.2,"【ILv210】ゴルディオン装備"
13.3,"【ILv220】プロトミダース装備"
13.4,"【ILv240】蛮神風装備"
13.5,"【ILv240～245】ミダース装備"
13.6,"【ILv250】プロトアレキ装備"
13.7,"【ILv270】イディルシャイア製装備"
13.8,"【ILv270～275】アレキサンダー装備"
14.0,"【ILv175～265】蛮神装備"
14.1,"【ILv190】プロトゴルド装備"
14.2,"【ILv210】ゴルディオン装備"
14.3,"【ILv220】プロトミダース装備"
14.4,"【ILv240】蛮神風装備"
14.5,"【ILv240～245】ミダース装備"
14.6,"【ILv250】プロトアレキ装備"
14.7,"【ILv270】イディルシャイア製装備"
14.8,"【ILv270～275】アレキサンダー装備"
15.0,"【ILv175～265】蛮神装備"
15.1,"【ILv190】プロトゴルド装備"
15.2,"【ILv210】ゴルディオン装備"
15.3,"【ILv220】プロトミダース装備"
15.4,"【ILv240】蛮神風装備"
15.5,"【ILv240～245】ミダース装備"
15.6,"【ILv250】プロトアレキ装備"
15.7,"【ILv270】イディルシャイア製装備"
15.8,"【ILv270～275】アレキサンダー装備"
16.0,"【ILv175～265】蛮神装備"
16.1,"【ILv190】プロトゴルド装備"
16.2,"【ILv210】ゴルディオン装備"
16.3,"【ILv220】プロトミダース装備"
16.4,"【ILv240】蛮神風装備"
16.5,"【ILv240～245】ミダース装備"
16.6,"【ILv250】プロトアレキ装備"
16.7,"【ILv270】イディルシャイア製装備"
16.8,"【ILv270～275】アレキサンダー装備"
17.0,"【ILv175～265】蛮神装備"
17.1,"【ILv190】プロトゴルド装備"
17.2,"【ILv210】ゴルディオン装備"
17.3,"【ILv220】プロトミダース装備"
17.4,"【ILv240】蛮神風装備"
17.5,"【ILv240～245】ミダース装備"
17.6,"【ILv250】プロトアレキ装備"
17.7,"【ILv270】イディルシャイア製装備"
17.8,"【ILv270～275】アレキサンダー装備"
18.0,"【ILv175～265】蛮神装備"
18.1,"【ILv190】プロトゴルド装備"
18.2,"【ILv210】ゴルディオン装備"
18.3,"【ILv220】プロトミダース装備"
18.4,"【ILv240】蛮神風装備"
18.5,"【ILv240～245】ミダース装備"
18.6,"【ILv250】プロトアレキ装備"
18.7,"【ILv270】イディルシャイア製装備"
18.8,"【ILv270～275】アレキサンダー装備"
19.0,"【ILv175～265】蛮神装備"
19.1,"【ILv190】プロトゴルド装備"
19.2,"【ILv210】ゴルディオン装備"
19.3,"【ILv220】プロトミダース装備"
19.4,"【ILv240】蛮神風装備"
19.5,"【ILv240～245】ミダース装備"
19.6,"【ILv250】プロトアレキ装備"
19.7,"【ILv270】イディルシャイア製装備"
19.8,"【ILv270～275】アレキサンダー装備"
20.0,"特殊武器関連アイテム"
20.1,"素材"
20.2,"マウント・雑貨"
20.3,"マテリア（その1）"
20.4,"マテリア（その2）"
21.0,"【ILv130】アデプト装備"
21.1,"【ILv200】キープ装備（道具）"
21.2,"【ILv200】キープ装備（防具）"
22.0,"雑貨"
22.1,"素材"
22.2,"秘伝書（その1）"
22.3,"秘伝書（その2）"
22.4,"マテリア"
23.0,"【ILv130】トレイル装備"
23.1,"【ILv200】キープ装備（道具）"
23.2,"【ILv200】キープ装備（防具）"
24.0,"雑貨・釣り餌"
24.1,"素材"
24.2,"伝承録"
24.3,"マテリア"
