key,0,1,2,3,4,5,6
#,,,,Action,,,Guide
int32,byte,byte,byte,Action,byte,uint32,Guide
0,255,255,0,"",0,0,"Guide#0"
1,40,255,1,"アイアンウィル",0,0,"Guide#1"
2,40,255,2,"",0,0,"Guide#2"
3,42,255,1,"ディフェンダー",0,0,"Guide#3"
4,42,255,2,"ステディハンド",0,0,"Guide#4"
5,54,255,1,"グリットスタンス",0,0,"Guide#5"
6,78,255,1,"暗黒の波動",0,0,"Guide#6"
7,54,255,2,"マナフォント",0,0,"Guide#7"
8,78,255,1,"ブラックナイト",0,0,"Guide#8"
9,78,255,1,"影身具現",0,0,"Guide#9"
10,45,255,2,"反撃効果",0,0,"Guide#10"
11,45,255,2,"ヘイスト",0,0,"Guide#11"
12,47,255,1,"エーテルフロー",0,0,"Guide#12"
13,50,255,1,"エーテルパクト",0,0,"Guide#13"
14,50,255,1,"サモン・セラフィム",0,0,"Guide#14"
15,55,255,1,"アストラルドロー",0,0,"Guide#40"
16,55,255,1,"マイナーアルカナ",0,0,"Guide#41"
17,61,255,1,"鉄山闘気",0,0,"Guide#42"
18,91,255,1,"双掌打",0,0,"Guide#43"
19,61,255,1,"鉄山闘気",0,0,"Guide#44"
20,91,255,2,"",0,0,"Guide#45"
21,61,255,1,"桃園結義",0,0,"Guide#46"
22,58,255,1,"ジョルト",0,0,"Guide#29"
23,58,255,2,"プレーンクラッカー",0,0,"Guide#30"
24,43,255,1,"ゲイルスコグル",0,0,"Guide#47"
25,43,255,2,"ルイン",0,0,"Guide#48"
26,43,255,2,"スランバーブレス",0,0,"Guide#49"
27,62,255,1,"強甲破点突",0,0,"Guide#50"
28,51,255,2,"サモン",0,0,"Guide#51"
29,57,255,1,"居合術",0,0,"Guide#15"
30,56,255,2,"老農の知",0,0,"Guide#16"
31,56,255,1,"照破",0,0,"Guide#17"
32,44,255,1,"賢人のバラード",0,0,"Guide#18"
33,44,255,1,"軍神のパイオン",0,0,"Guide#19"
34,44,255,1,"旅神のメヌエット",0,0,"Guide#20"
35,44,255,2,"リクレイム",0,0,"Guide#21"
36,44,255,2,"スタグナントスプレー",0,0,"Guide#22"
37,52,255,1,"ハイパーチャージ",0,0,"Guide#23"
38,52,255,1,"オートタレット・ルーク",2,294,"Guide#24"
39,46,255,1,"ファイア",0,0,"Guide#52"
40,46,255,2,"イフリート：着地",0,0,"Guide#53"
41,46,255,2,"シャープビジョンIII",0,0,"Guide#54"
42,46,255,1,"ファウル",0,0,"Guide#55"
43,46,255,2,"泳がせ釣り",0,0,"Guide#56"
44,46,255,2,"炎獄の楔：死亡",0,0,"Guide#57"
45,46,255,2,"アブセントマインド",0,0,"Guide#58"
46,103,255,2,"熱気",0,0,"Guide#59"
47,49,255,1,"エーテルチャージ",0,0,"Guide#60"
48,48,255,1,"エナジードレイン",0,0,"Guide#61"
49,49,255,1,"エーテルチャージ",0,0,"Guide#62"
50,49,255,2,"蛮勇",0,0,"Guide#63"
51,49,255,2,"バイオラ",0,0,"Guide#64"
52,49,255,2,"針百本",0,0,"Guide#65"
53,49,255,3,"レイズ",0,0,"Guide#66"
54,80,255,1,"スタンダードステップ",0,0,"Guide#25"
55,81,255,2,"インナークワイエット",0,0,"Guide#26"
56,80,255,1,"テクニカルステップ",0,0,"Guide#27"
57,81,255,2,"インナークワイエット",0,0,"Guide#28"
58,79,255,1,"ロイヤルガード",0,0,"Guide#31"
59,79,255,2,"インナークワイエット",0,0,"Guide#32"
60,79,255,2,"エンブリザド",0,0,"Guide#33"
61,87,255,2,"超音波",0,0,"Guide#34"
62,88,87,2,"アジテーション",0,0,"Guide#35"
63,88,255,2,"アジテーション",0,0,"Guide#36"
64,89,255,1,"エウクラシア",0,0,"Guide#37"
65,90,255,2,"ボンバディア",0,0,"Guide#38"
66,90,255,2,"サマーソルトスラッシュ",0,0,"Guide#39"
67,104,255,3,"エーテルフロー",0,0,"Guide#67"
68,104,255,2,"サンドブレス",0,0,"Guide#68"
69,104,255,2,"ポイズンブレス",0,0,"Guide#69"
70,105,255,2,"アースブレイク",0,0,"Guide#70"
71,105,255,2,"サンドピラー",0,0,"Guide#71"
72,106,255,3,"",0,0,"Guide#72"
73,106,255,3,"ラストバスティオン",0,0,"Guide#73"
74,107,255,2,"魔導レーザー",0,0,"Guide#74"
75,106,255,3,"メテオ",0,0,"Guide#75"
76,107,255,2,"オーバーヒート",0,0,"Guide#76"
77,107,255,2,"シースプレー",0,0,"Guide#77"
78,106,255,3,"",0,0,"Guide#78"
79,0,0,0,"",0,0,"Guide#0"
80,0,0,0,"",0,0,"Guide#0"
