key,0,1,2,3,4,5,6,7
#,JobHudManual[0],JobHudManual[1],JobHudManual[2],JobHudManual[3],JobHudManual[4],JobHudManual[5],JobHudManual[6],JobHudManual[7]
int32,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual,JobHudManual
0,"","","","","","","",""
1,"アイアンウィル","","","","","","",""
2,"双掌打","鉄山闘気","","","","","",""
3,"ディフェンダー","","","","","","",""
4,"ファイア","","","","","","",""
5,"エナジードレイン","エーテルチャージ","","","","","",""
6,"","","","","","","",""
7,"桃園結義","","鉄山闘気","","","","",""
8,"ステディハンド","","","","","","",""
9,"スランバーブレス","ルイン","ゲイルスコグル","","","","",""
10,"スタグナントスプレー","リクレイム","旅神のメヌエット","軍神のパイオン","賢人のバラード","","",""
11,"ヘイスト","反撃効果","","","","","",""
12,"熱気","アブセントマインド","炎獄の楔：死亡","泳がせ釣り","ファウル","シャープビジョンIII","イフリート：着地","アンブラルソウル"
13,"レイズ","針百本","バイオラ","蛮勇","エーテルチャージ","","",""
14,"サモン・セラフィム","エーテルパクト","エーテルフロー","","","","",""
15,"サモン","強甲破点突","","","","","",""
16,"オートタレット・ルーク","ハイパーチャージ","","","","","",""
17,"影身具現","ブラックナイト","マナフォント","暗黒の波動","グリットスタンス","","",""
18,"マイナーアルカナ","アストラルドロー","","","","","",""
19,"照破","老農の知","居合術","","","","",""
20,"プレーンクラッカー","ジョルト","","","","","",""
21,"エンブリザド","インナークワイエット","ロイヤルガード","","","","",""
22,"インナークワイエット","テクニカルステップ","インナークワイエット","スタンダードステップ","","","",""
23,"アジテーション","アジテーション","超音波","","","","",""
24,"サマーソルトスラッシュ","ボンバディア","エウクラシア","","","","",""
25,"サンドピラー","アースブレイク","ポイズンブレス","サンドブレス","エーテルフロー","","",""
26,"","シースプレー","オーバーヒート","メテオ","魔導レーザー","ラストバスティオン","",""
