key,0,1
#,Icon,Name
int32,Image,str
0,,""
1,"ui/icon/062000/062501.tex","傭兵稼業"
2,"ui/icon/062000/062510.tex","採掘師"
3,"ui/icon/062000/062511.tex","園芸師"
4,"ui/icon/062000/062512.tex","漁師"
5,"ui/icon/062000/062502.tex","木工師"
6,"ui/icon/062000/062503.tex","鍛冶師"
7,"ui/icon/062000/062504.tex","甲冑師"
8,"ui/icon/062000/062505.tex","彫金師"
9,"ui/icon/062000/062506.tex","革細工師"
10,"ui/icon/062000/062507.tex","裁縫師"
11,"ui/icon/062000/062508.tex","錬金術師"
12,"ui/icon/062000/062509.tex","調理師"
13,"ui/icon/061000/061461.tex","黒渦団"
14,"ui/icon/061000/061462.tex","双蛇党"
15,"ui/icon/061000/061463.tex","不滅隊"
