key,0,1,2,3,4
#,,,,,
int32,byte,byte,int32,str,str
0,0,0,-1,"",""
1,1,4,82201,"まもり効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「まもり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を90%に上昇させる。"
2,1,5,82202,"いのり効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「いのり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の回復力を5000に上昇させる。"
3,2,3,82203,"あばれる効果アップ","自身に<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「肉斬骨断」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>が付与される。
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「肉斬骨断」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>効果中に受けたダメージ量によって、いちげきの威力が増加する。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>15秒"
4,3,4,82204,"けり効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「けり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を7%に上昇させる。"
5,3,6,82205,"けり効果アップII","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「けり」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を9%に上昇させる。"
6,4,3,82206,"ねらう効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ねらう」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量が30%に上昇し、さらに攻撃が必中になる。"
7,4,5,82207,"ねらう効果アップII","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ねらう」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量が50%に上昇し、さらに攻撃が必中になる。"
8,5,5,82208,"いあいぬき効果アップ","いあいぬきの威力を500に上昇させる。さらに即死の確率を10%に上昇させる。"
9,6,2,82209,"うた効果アップ","うたの効果量をサポート吟遊詩人のサポートジョブレベルに応じて上昇させる。"
10,12,6,82212,"かぎあけ","ダンジョン内にある鍵のかかった扉を開けることができるようになる。"
11,9,5,82211,"ほうげき効果アップ","ほうげきの実行時、5%の確率で一部の対象を即死させる。"
12,7,5,82210,"ベル効果アップ","<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「たたかいのベル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の効果量を5%に上昇させる。
さらに<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「いこいのベル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>の回復力を3000に上昇させる。"
13,0,0,-1,"",""
14,0,0,-1,"",""
15,0,0,-1,"",""
