key,0,1,2
#,,Quest,
int32,uint16,Quest,byte
0,0,,255
1,67,,255
2,68,,255
3,71,,255
4,0,"嵐多き海へ",4
5,0,"荒鷲の巣作戦",2
6,0,"谷間のゆり",2
7,0,"月という檻",2
8,0,"天の彼方へ",3
9,0,"指し示されたエルピス",5
10,0,"予感",4
11,0,"やがて流れは海へと注ぐ",255
12,78,,255
13,80,,255
14,83,,255
15,82,,255
16,81,,255
17,84,,255
18,85,,255
19,79,,255
20,87,,255
21,88,,255
22,89,,255
23,90,,255
24,91,,255
25,0,"未知なる冒険へ",6
26,0,"ソリューション・ナイン",2
27,0,"黄金の扉の先へ",4
28,0,"ドーンブレイザー",4
29,94,,255
30,92,,255
31,96,,255
32,97,,255
33,93,,255
34,95,,255
35,98,,255
36,99,,255
37,100,,255
38,101,,255
39,0,"使えない使い魔",255
