key,0
#,
int32,str
0,""
1000,""
1001,"●メカミッション:壁をぶっ壊せ!"
1002,"●メカミッション:隕石を受け止めろ！"
1003,"●メカミッション:ルナテンダーを追いかけろ"
1004,"●メカミッション:邪魔なキノコを掃除せよ"
1005,"●メカミッション:鉱石を取得せよ"
1006,"メカオペレーションを開始する！
搭乗したパワーローダーで、
巨大偏属性クリスタルを破砕してくれたまえ！"
1007,"今回の指令は、出現した巨大偏属性クリスタルを破砕し、
属性変換用資材として回収すること。"
1008,"ターゲットとなる巨大偏属性クリスタルは非常に強固だが、
君の乗る「パワーローダー」の装備であれば、十分に破砕可能だ！"
1009,"任務地に到着後、準備が整い次第、指令を開始する。
任務地から離れすぎないよう、注意してくれたまえ！"
1010,"メカオペレーションへの参加協力、感謝する！
「コスモドリル」を使って、小型偏属性クリスタルを破砕して欲しい！"
1011,"フィールドサーチャーが、隠れたターゲットを探知した！
パワーローダーは、これも破砕してくれたまえ！"
1012,"偏属性クリスタルの破砕量が、目標値の50%に達したぞ！
この勢いならば、十分な資源が得られそうだ！"
1013,"偏属性クリスタルの破砕量が、目標値の90%に達したぞ！
あともうひと息で、十分な資源が得られるだろう！"
1014,"指令成功だ、これで計画の前進に大きく貢献できるだろう！
パイロットおよび、サポーター諸君の協力に感謝する！"
1015,"残念ながら、指令失敗だ……。
各位、解散して通常任務に戻ってくれたまえ……。"
1016,"●目標に到達だ！
これよりボーナスタイムに突入するぞ！"
1017,"●メカの「●発破」が連打できるようになり、
お手伝いは「●範囲収集：大」を
いつでも使えるようになるぞ。"
1018,"●ジャンジャン石を集めて、
「●プレイヤー貢献度」を稼いでくれ！"
1019,"●目標に到達だ！
みんな、協力ありがとう。"
1020,"●残念ながら●ボーナスタイムは発生しなかったが、
作戦は成功だ！"
1021,"●報酬を受け取っておのおのの活動に戻ってくれ。
またの参加を期待している！	"
1022,"●ボーナスタイム終了！
作戦は大成功だ、みんな協力ありがとう。"
1023,"●報酬を受け取っておのおのの活動に戻ってくれ。
またの参加を期待している！"
1024,"間もなく大規模な磁気嵐が発生する模様……
各種機器への影響が懸念されるため、各員十分に注意せよ。"
1025,"磁気嵐による影響を確認、緊急状況を宣言する。
各員、復旧に要する物資の調達を行うべし！"
1026,"目下の状況だが、復旧の糸口が見えてきたようだ。
各員、担当している任務を最後に撤収せよ！"
1027,"各員の協力により、復旧が完了した！
緊急状況を解除、貴君らの協力に感謝する。"
1028,"復旧の目処がついたため、緊急状況は解除となった。
残務処理は本部に任せ、帰還してくれ……。"
1029,"ピアッシングウェイ・トンネル内の一部照明の点灯を確認。
作業を続行し、完全復旧を目指してくれ！"
1030,"ピアッシングウェイ・トンネル内にて、大部分の照明が点灯！
完全復旧も目前だ！"
1031,"釣り上げた水産物の数"
1032,"釣り上げた水産物の種類"
1033,"現在の評価値"
1034,"製作した<Sheet(Item,IntegerParameter(1),0)/>の数"
1035,"採集した<Sheet(Item,IntegerParameter(1),0)/>の数"
1036,"釣り上げた<Sheet(Item,IntegerParameter(1),0)/>の数"
1037,"<Sheet(EObj,IntegerParameter(1),0)/>に納品する"
1038,"<Sheet(WKSMechaEventData,IntegerParameter(1),1)/>"
1039,"今回の指令は、ミケナ・クロロフォス菌床の排除だ。
このままでは毒素を放出し、周辺に被害が出ることだろう。"
1040,"「ホイールローダー」のブレードダッシュで、異常菌床を粉砕してくれ。
状況に応じて、エアログラインダーを使う方法も有効だ。"
1041,"現地に到着後、準備が整い次第、指令を開始する。
任務地から離れすぎないよう、注意してくれたまえ！"
1042,"メカオペレーションを開始する！
搭乗したホイールローダーで、巨大な異常菌床を粉砕してくれ！"
1043,"協力者諸君、「コスモフレイムスロアー」を使って、
小さな異常菌床を焼却して欲しい！"
1044,"フィールドサーチャーが、隠れていたターゲットを探知した！
ホイールローダーは、これも粉砕してくれたまえ！"
1045,"異常菌床を、目標値の50%駆除できたぞ！
この勢いなら、やつらを抑え込める！"
1046,"異常菌床を、目標値の90%駆除したぞ！
あともうひと息で、やつらの繁殖を止められるだろう！"
1047,"指令成功だ、これで当面は安全だろう！
パイロットおよび、サポーター諸君の協力に感謝する！"
1048,"残念ながら、指令失敗だ……。
各位、解散して通常任務に戻ってくれたまえ……。"
1049,""
1050,"<Sheet(WKSMissionText,IntegerParameter(1),0)/>"
1051,"●<Sheet(WKSMechaEventData,IntegerParameter(1),2)/>"
1052,"JOIN EVENT"
1053,"自身の指令貢献度"
1054,"<Sheet(Item,IntegerParameter(1),0)/>の所持数"
1055,""
1056,"ムーンゲート基地が拡充されたッス！
ご協力、ありがとうッスよー！<Unknown17/>探索の軌跡に、
レポーティングウェイの新しい記事も掲載されたッス！"
1057,"ムーンゲート基地付近に、コスモライナーが敷設されたッス！
ご協力、ありがとうッスよー！<Unknown17/>探索の軌跡に、
レポーティングウェイの新しい記事も掲載されたッス！"
1058,"居住モジュールが完成したッス！
ご協力、ありがとうッスよー！<Unknown17/>次は、コスモポート建設のための共同施工を行うッスよー！
開始時刻は、探索の軌跡から確認してほしいッス！"
1059,"居住モジュール、コスモポートが完成したッス！
ご協力、ありがとうッスよー！<Unknown17/>探索の軌跡に、
レポーティングウェイの新しい記事も掲載されたッス！"
1060,"ローダーハンガーが拡充されたッス！
ご協力、ありがとうッスよー！<Unknown17/>探索の軌跡に、
レポーティングウェイの新しい記事も掲載されたッス！"
1061,"北西部のコスモライナーが敷設されたッス！
ご協力、ありがとうッスよー！<Unknown17/>探索の軌跡に、
レポーティングウェイの新しい記事も掲載されたッス！"
1062,"南東部のコスモライナーが敷設されたッス！
ご協力、ありがとうッスよー！<Unknown17/>探索の軌跡に、
レポーティングウェイの新しい記事も掲載されたッス！"
