key,0,1,2,3,4,5,6,7,8,9,10
#,,,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8]
int32,uint32,uint32,Item,Item,Item,Item,Item,Item,Item,Item,Item
0,0,0,"ギル","","","","","","","",""
41787,0,0,"","","","","","","","",""
41788,0,0,"","","","","","","","",""
41789,0,0,"","","","","","","","",""
44960,0,0,"","","","","","","","",""
44961,0,0,"","","","","","","","",""
44962,0,0,"","","","","","","","",""
44963,0,0,"","","","","","","","",""
44964,0,0,"","","","","","","","",""
44965,0,0,"","","","","","","","",""
44966,0,0,"","","","","","","","",""
44967,0,0,"","","","","","","","",""
44968,0,0,"","","","","","","","",""
44969,0,0,"","","","","","","","",""
45094,0,0,"ドリームキャップ","ドリームチュニック","","","ドリームブーツ","","","",""
45095,0,0,"レインディアアントラー","レインディアスーツ","","","","","","",""
45096,0,0,"","","","","","","","",""
45097,0,0,"","","","","","","","",""
45098,0,0,"","","","","","","","",""
45099,0,0,"","","","","","","","",""
45100,0,0,"","","","","","","","",""
45101,0,0,"","","","","","","","",""
45102,0,0,"","レッドサマートップ","","レッドサマートランクス","","","","",""
45103,0,0,"","グリーンサマートップ","","グリーンサマートランクス","","","","",""
45104,0,0,"","ブルーサマートップ","","ブルーサマートランクス","","","","",""
45105,0,0,"","ソーラーサマートップ","","ソーラーサマートランクス","","","","",""
45106,0,0,"","ルナサマートップ","","ルナサマートランクス","","","","",""
45107,0,0,"","レッドサマーホルター","","レッドサマータンガ","","","","",""
45108,0,0,"","グリーンサマーホルター","","グリーンサマータンガ","","","","",""
45109,0,0,"","ブルーサマーホルター","","ブルーサマータンガ","","","","",""
45110,0,0,"","ソーラーサマーホルター","","ソーラーサマータンガ","","","","",""
45111,0,0,"","ルナサマーホルター","","ルナサマータンガ","","","","",""
45112,0,0,"カンパニーハット","カンパニータバード","","","","","","",""
45113,0,0,"","パールブラック・サマートップ","","パールブラック・サマートランクス","","","","",""
45114,0,0,"","ストライプサマートップ","","ストライプサマートランクス","","","","",""
45115,0,0,"","パールホワイト・サマーホルター","","パールホワイト・サマータンガ","","","","",""
45116,0,0,"","ストライプサマーホルター","","ストライプサマータンガ","","","","",""
