key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Name,NotebookDivisionCategory,CraftOpeningLevel,GatheringOpeningLevel,QuestUnlock,,,CRPCraft,BSMCraft,ARMCraft,GSMCraft,LTWCraft,WVRCraft,ALCCraft,CULCraft,,
int32,str,NotebookDivisionCategory,byte,byte,Quest,byte,bit&01,byte,byte,bool,bool,bool,bool,bool,bool,bool,bool
0,"1-5",0,0,0,0,0,False,0,0,True,True,True,True,True,True,True,True
1,"6-10",0,3,5,0,0,False,0,0,True,True,True,True,True,True,True,True
2,"11-15",0,8,10,0,0,False,0,0,True,True,True,True,True,True,True,True
3,"16-20",0,13,15,0,0,False,0,0,True,True,True,True,True,True,True,True
4,"21-25",0,18,20,0,0,False,0,0,True,True,True,True,True,True,True,True
5,"26-30",0,23,25,0,0,False,0,0,True,True,True,True,True,True,True,True
6,"31-35",0,28,30,0,0,False,0,0,True,True,True,True,True,True,True,True
7,"36-40",0,33,35,0,0,False,0,0,True,True,True,True,True,True,True,True
8,"41-45",0,38,40,0,0,False,0,0,True,True,True,True,True,True,True,True
9,"46-50",0,43,45,0,0,False,0,0,True,True,True,True,True,True,True,True
10,"51-55",0,48,50,0,0,False,0,0,True,True,True,True,True,True,True,True
11,"56-60",0,53,55,0,0,False,0,0,True,True,True,True,True,True,True,True
12,"61-65",0,58,60,0,0,False,0,0,True,True,True,True,True,True,True,True
13,"66-70",0,63,65,0,0,False,0,0,True,True,True,True,True,True,True,True
14,"71-75",0,68,70,0,0,False,0,0,True,True,True,True,True,True,True,True
15,"76-80",0,73,75,0,0,False,0,0,True,True,True,True,True,True,True,True
16,"81-85",0,78,80,0,0,False,0,0,True,True,True,True,True,True,True,True
17,"86-90",0,83,85,0,0,False,0,0,True,True,True,True,True,True,True,True
18,"91-95",0,88,90,0,0,False,0,0,True,True,True,True,True,True,True,True
19,"96-100",0,93,95,0,0,False,0,0,True,True,True,True,True,True,True,True
20,"101-105",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
21,"106-110",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
22,"111-115",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
23,"116-120",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
24,"121-125",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
25,"126-130",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
26,"131-135",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
27,"136-140",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
28,"141-145",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
29,"146-150",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
30,"151-155",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
31,"156-160",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
32,"161-175",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
33,"166-170",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
34,"171-175",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
35,"176-180",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
36,"181-185",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
37,"186-190",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
38,"191-195",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
39,"196-200",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
40,"[翻訳不要] レベル区分終端",0,255,255,0,0,False,0,0,True,True,True,True,True,True,True,True
1000,"秘伝書:第1巻",1,50,255,0,98,True,1,0,True,True,True,True,True,True,True,True
1001,"秘伝書:第2巻",1,50,255,0,97,True,4,0,True,True,True,True,True,True,True,True
1002,"秘伝書:第3巻",1,50,255,0,96,True,5,0,True,True,True,True,True,True,True,True
1003,"秘伝書:第4巻",1,60,255,0,95,True,6,0,True,True,True,True,True,True,True,True
1004,"秘伝書:第5巻",1,70,255,0,94,True,7,0,True,True,True,True,True,True,True,True
1005,"秘伝書:第6巻",1,70,255,0,93,True,8,0,True,True,True,True,True,True,True,True
1006,"秘伝書:第7巻",1,80,255,0,92,True,9,0,True,True,True,True,True,True,True,True
1007,"秘伝書:第8巻",1,80,255,0,91,True,10,0,True,True,True,True,True,True,True,True
1008,"秘伝書:その他",1,15,255,0,99,True,2,3,True,True,True,True,True,True,True,True
1009,"",0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False
1010,"",0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False
1011,"カララント",3,30,255,0,1,False,0,0,True,True,True,True,True,True,True,True
1012,"",0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,False
1013,"クラスクエスト",4,61,255,0,99,False,0,0,True,True,True,True,True,True,True,True
1014,"ミーン工芸館取引",4,70,255,68763,98,False,0,0,False,True,True,True,False,False,False,False
1015,"ミーン工芸館取引",4,70,255,68766,97,False,0,0,True,False,False,False,True,True,False,False
1016,"ミーン工芸館取引",4,70,255,68769,96,False,0,0,False,False,False,False,False,False,True,True
1017,"イクサル族",5,1,255,67022,9,False,0,0,True,True,True,True,True,True,True,True
1018,"モーグリ族",5,50,255,0,8,False,0,0,True,True,True,True,True,True,True,True
1019,"ナマズオ族",5,60,255,0,7,False,0,0,True,True,True,True,True,True,True,True
1020,"シロ・アリアポー",6,55,255,67087,11,False,0,0,True,True,True,True,True,True,True,True
1021,"メ・ナーゴ",6,55,255,68541,10,False,0,0,True,True,True,True,True,True,True,True
1022,"クレナイ",6,55,255,68675,9,False,0,0,True,True,True,True,True,True,True,True
1023,"アドキラー",6,55,255,68713,8,False,0,0,True,True,True,True,True,True,True,True
1024,"カイ・シル",6,55,255,69265,7,False,0,0,True,True,True,True,True,True,True,True
1025,"イシュガルド復興",7,20,255,73,98,False,0,0,True,True,True,True,True,True,True,True
1026,"その他",7,20,255,73,99,False,0,0,True,True,True,True,True,True,True,True
1027,"イシュガルド復興2",7,255,255,73,100,False,0,0,True,True,True,True,True,True,True,True
1028,"スカイスチールツール",7,80,255,69384,97,False,0,0,True,True,True,True,True,True,True,True
1029,"ドワーフ族",5,70,255,0,6,False,0,0,True,True,True,True,True,True,True,True
1030,"エル・トゥ",6,55,255,69425,6,False,0,0,True,True,True,True,True,True,True,True
1031,"イシュガルド復興3",7,255,255,73,100,False,0,0,True,True,True,True,True,True,True,True
1032,"50-60",8,50,255,0,10,False,0,0,True,True,True,True,True,True,True,True
1033,"61-70",8,60,255,0,9,False,0,0,True,True,True,True,True,True,True,True
1034,"71-80",8,70,255,0,8,False,0,0,True,True,True,True,True,True,True,True
1035,"オーナメント（その1）",3,50,255,0,3,False,0,0,False,False,False,False,False,False,True,False
1036,"イシュガルド復興4",7,255,255,73,100,False,0,0,True,True,True,True,True,True,True,True
1037,"デュランデル",6,55,255,69615,5,False,0,0,True,True,True,True,True,True,True,True
1038,"秘伝書:第9巻",1,90,255,0,90,True,11,0,True,True,True,True,True,True,True,True
1039,"81-90",8,80,255,0,7,False,0,0,True,True,True,True,True,True,True,True
1040,"魔法大学取引",4,80,255,69668,95,False,0,0,False,True,True,True,False,False,False,False
1041,"魔法大学取引",4,80,255,69675,94,False,0,0,True,False,False,False,True,True,False,False
1042,"魔法大学取引",4,80,255,69682,93,False,0,0,False,False,False,False,False,False,True,True
