key,0,1,2,3
#,BNpcBase,Rank,BNpcName,
int32,BNpcBase,byte,BNpcName,uint16
0,"BNpcBase#0",1,"",0
1,"BNpcBase#3175",1,"ホワイトジョーカー",0
2,"BNpcBase#3192",2,"ファルネウス",0
3,"BNpcBase#3209",3,"レドロネット",0
4,"BNpcBase#3176",1,"スティンギング・ソフィー",0
5,"BNpcBase#3193",2,"メルティゼリー",0
6,"BNpcBase#3210",3,"ウルガル",0
7,"BNpcBase#3177",1,"モナーク・オーガフライ",0
8,"BNpcBase#3194",2,"ゲーデ",0
9,"BNpcBase#3211",3,"マインドフレア",0
10,"BNpcBase#3178",1,"フェクダ",0
11,"BNpcBase#3195",2,"ギルタブ",0
12,"BNpcBase#3212",3,"サウザンドキャスト・セダ",0
13,"BNpcBase#3179",1,"スェアーシロップ",0
14,"BNpcBase#3196",2,"アレクトリオン",0
15,"BNpcBase#3213",3,"ゾーナ・シーカー",0
16,"BNpcBase#3180",1,"アヴゼン",0
17,"BNpcBase#3197",2,"サボテンダー・バイラリーナ",0
18,"BNpcBase#3214",3,"ブロンテス",0
19,"BNpcBase#3181",1,"ガトリングス",0
20,"BNpcBase#3198",2,"マヘス",0
21,"BNpcBase#3215",3,"バルウール",0
22,"BNpcBase#3182",1,"死灰のアルビン",0
23,"BNpcBase#3199",2,"ザニゴ",0
24,"BNpcBase#3216",3,"ヌニュヌウィ",0
25,"BNpcBase#3183",1,"不滅のフェランド闘軍曹",0
26,"BNpcBase#3200",2,"ファイナルフレイム",0
27,"BNpcBase#3217",3,"ミニョーカオン",0
28,"BNpcBase#3184",1,"スコッグ・フリュー",0
29,"BNpcBase#3201",2,"醜男のヴォガージャ",0
30,"BNpcBase#3218",3,"クロック・ミテーヌ",0
31,"BNpcBase#3185",1,"バーバステル",0
32,"BNpcBase#3202",2,"ウンクテヒ",0
33,"BNpcBase#3219",3,"ケロゲロス",0
34,"BNpcBase#3186",1,"ブラッディ・マリー",0
35,"BNpcBase#3203",2,"魔導ヘルズクロー",0
36,"BNpcBase#3220",3,"ガーロック",0
37,"BNpcBase#3187",1,"ダークヘルメット",0
38,"BNpcBase#3204",2,"ナン",0
39,"BNpcBase#3221",3,"ボナコン",0
40,"BNpcBase#3188",1,"ミラドロッシュ",0
41,"BNpcBase#3205",2,"マーベリー",0
42,"BNpcBase#3222",3,"ナンディ",0
43,"BNpcBase#3189",1,"ヴオコー",0
44,"BNpcBase#3206",2,"コンヌ",0
45,"BNpcBase#3223",3,"チェルノボーグ",0
46,"BNpcBase#3190",1,"ナウル",0
47,"BNpcBase#3207",2,"マラク",0
48,"BNpcBase#3224",3,"サファト",0
49,"BNpcBase#3191",1,"リーチキング",0
50,"BNpcBase#3208",2,"クーレア",0
51,"BNpcBase#3225",3,"アグリッパ",0
52,"BNpcBase#4527",1,"アルティック",0
53,"BNpcBase#4528",1,"クルーゼ",0
54,"BNpcBase#4539",2,"ミルカ",0
55,"BNpcBase#4540",2,"リューバ",0
56,"BNpcBase#4551",3,"カイザーベヒーモス",0
57,"BNpcBase#4529",1,"グナース・コメットドローン",0
58,"BNpcBase#4530",1,"テクスタ",0
59,"BNpcBase#4541",2,"パイルラスタ",0
60,"BNpcBase#4542",2,"ワイバーンロード",0
61,"BNpcBase#4552",3,"セーンムルウ",0
62,"BNpcBase#4531",1,"プテリゴトゥス",0
63,"BNpcBase#4532",1,"ブラクキ",0
64,"BNpcBase#4543",2,"機兵のスリップキンクス",0
65,"BNpcBase#4544",2,"ストラス",0
66,"BNpcBase#4553",3,"ペイルライダー",0
67,"BNpcBase#4533",1,"スキタリス",0
68,"BNpcBase#4534",1,"スケアクロウ",0
69,"BNpcBase#4545",2,"ブネ",0
70,"BNpcBase#4546",2,"アガトス",0
71,"BNpcBase#4554",3,"ガンダルヴァ",0
72,"BNpcBase#4535",1,"スクオンク",0
73,"BNpcBase#4536",1,"舞手のサヌバリ",0
74,"BNpcBase#4547",2,"エンケドラス",0
75,"BNpcBase#4548",2,"シシウトゥル",0
76,"BNpcBase#4555",3,"極楽鳥",0
77,"BNpcBase#4537",1,"リュキダス",0
78,"BNpcBase#4538",1,"オムニ",0
79,"BNpcBase#4549",2,"キャムパクティ",0
80,"BNpcBase#4550",2,"センチブロッサム",0
81,"BNpcBase#4556",3,"レウクロッタ",0
82,"BNpcBase#6851",1,"剣豪ガウキ",0
83,"BNpcBase#6852",1,"姑獲鳥",0
84,"BNpcBase#6845",2,"船幽霊",0
85,"BNpcBase#6846",2,"オニユメミ",0
86,"BNpcBase#6833",3,"オキナ",220
87,"BNpcBase#6853",1,"デイダラ",0
88,"BNpcBase#6854",1,"雷撃のギョライ",0
89,"BNpcBase#6847",2,"ガジャースラ",0
90,"BNpcBase#6848",2,"アンガダ",0
91,"BNpcBase#6834",3,"ガンマ",221
92,"BNpcBase#6855",1,"クールマ",0
93,"BNpcBase#6856",1,"アスワング",0
94,"BNpcBase#6849",2,"ギリメカラ",0
95,"BNpcBase#6850",2,"ソム",0
96,"BNpcBase#6835",3,"オルガナ",222
97,"BNpcBase#6857",1,"宵闇のヤミニ",0
