key,0
#,
int32,str
0,""
1,""
2,""
3,"荒々しいフビゴ族"
4,"ひと休みしているフビゴ族"
5,"汗だくのドプロ族"
6,"不安そうなフビゴ族"
7,"マーブル"
8,"友の章の石塔"
9,"食の章の石塔"
10,"葦の章の石塔"
11,"壺の章の石塔"
12,"金の章の石塔"
13,"墓の章の石塔"
14,"封の章の石塔"
15,"何も描かれていない石塔"
16,"ウクラマト"
17,"ピンク色の半固形物"
18,"液体が入ったパウチ"
19,"細長い固形物"
20,"ペースト入りのパウチ"
21,"缶詰らしきもの"
22,""
23,""
24,""
25,""
26,""
27,"トナワータ族の盗賊"
28,"シャトナ族の採集家"
29,"トナワータ族の探検家"
30,"アルシャール"
31,"プリッシュ"
32,"バクージャジャ"
33,"執事王"
34,"三歌姫の熱心なファンたち"
35,"クイックサンドの店員"
36,"ピコット"
37,""
38,""
39,""
40,""
41,""
42,""
43,"ウクラマトと市民"
44,"ネクサスアーケード"
45,"レイノード・ナイン"
46,"ガバメントセクター"
