key,0,1,2,3,4,5,6,7
#,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
int32,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
1602,"","","","","","","",""
1603,"","","","","","","",""
1604,"","","","","","","",""
1605,"","","","","","","",""
1607,"","","","","","","",""
1609,"","","","","","","",""
1611,"","","","","","","",""
1614,"","","","","","","",""
1622,"","","","","","","",""
1625,"","","","","","","",""
1627,"","","","","","","",""
1633,"","","","","","","",""
1635,"","","","","","","",""
1637,"","","","","","","",""
1639,"","","","","","","",""
1642,"","","","","","","",""
1643,"","","","","","","",""
1648,"","","","","","","",""
1649,"","","","","","","",""
1650,"","","","","","","",""
1657,"","","","","","","",""
1659,"","","","","","","",""
1663,"","","","","","","",""
1666,"","","","","","","",""
1670,"","","","","","","",""
1673,"","","","","","","",""
1681,"","","","","","","",""
1682,"","","","","","","",""
1683,"","","","","","","",""
1684,"","","","","","","",""
1685,"","","","","","","",""
1686,"","","","","","","",""
1688,"","","","","","","",""
1694,"","","","","","","",""
1697,"","","","","","","",""
1699,"","","","","","","",""
1706,"","","","","","","",""
1708,"","","","","","","",""
1711,"","","","","","","",""
1716,"","","","","","","",""
1723,"","","","","","","",""
1728,"","","","","","","",""
1732,"","","","","","","",""
1733,"","","","","","","",""
1736,"","","","","","","",""
1740,"","","","","","","",""
1743,"","","","","","","",""
1750,"","","","","","","",""
1751,"","","","","","","",""
1752,"","","","","","","",""
1753,"","","","","","","",""
1754,"","","","","","","",""
1756,"","","","","","","",""
1758,"","","","","","","",""
1764,"","","","","","","",""
1766,"","","","","","","",""
1769,"","","","","","","",""
1776,"","","","","","","",""
1778,"","","","","","","",""
1781,"","","","","","","",""
1786,"","","","","","","",""
1796,"","","","","","","",""
1800,"","","","","","","",""
1801,"","","","","","","",""
1803,"","","","","","","",""
1806,"","","","","","","",""
1810,"","","","","","","",""
1813,"","","","","","","",""
1820,"","","","","","","",""
1821,"","","","","","","",""
1822,"","","","","","","",""
1823,"","","","","","","",""
1824,"","","","","","","",""
1825,"","","","","","","",""
1827,"","","","","","","",""
1833,"","","","","","","",""
1836,"","","","","","","",""
1838,"","","","","","","",""
