key,0
#,Description
int32,str
0,""
1,"ＶＩＴが8上昇する。"
2,"ＶＩＴが16上昇する。"
3,"ＶＩＴが24上昇する。"
4,"ＶＩＴが8上昇する。"
5,"ＶＩＴが16上昇する。"
6,"ＶＩＴが24上昇する。"
7,"ＳＴＲが8上昇する。"
8,"ＳＴＲが16上昇する。"
9,"ＳＴＲが24上昇する。"
10,"疾風迅雷が2つまでスタックするようになる。"
11,"疾風迅雷が3つまでスタックするようになる。"
12,"ＳＴＲが8上昇する。"
13,"ＳＴＲが16上昇する。"
14,"ＳＴＲが24上昇する。"
15,"ＤＥＸが8上昇する。"
16,"ＤＥＸが16上昇する。"
17,"自身に<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「ホークアイ」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を付与する。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>30秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>発動条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>ヘヴィショットの命中時（発動確率20％）"
18,"自身のオートアタックを除くアクションによるダメージをベースダメージの1.1倍にする。"
19,"ＤＥＸが24上昇する。"
20,"自身のオートアタックを除くアクションによるダメージをベースダメージの1.2倍にする。"
21,"ＭＮＤが8上昇する。"
22,"ＭＮＤが16上昇する。"
23,"自身のオートアタックを除くアクションによる、ダメージと回復量をベース値の1.1倍にする。"
24,"ＭＮＤが24上昇する。"
25,"次に詠唱するケアルラの消費ＭＰを0にする。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>15秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>発動条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>ケアル実行時（発動確率15％）"
26,"自身のオートアタックを除くアクションによる、ダメージと回復量をベース値の1.3倍にする。"
27,"ＩＮＴが8上昇する。"
28,"ＩＮＴが16上昇する。"
29,"自身のオートアタックを除くアクションによる、ダメージと回復量をベース値の1.1倍にする。"
30,"ＩＮＴが24上昇する。"
31,"自身のオートアタックを除くアクションによる、ダメージと回復量をベース値の1.3倍にする。"
32,"次に詠唱するファイガの詠唱時間と消費ＭＰを0にする。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>30秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>発動条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>ファイア実行時（発動確率40％）"
33,"次に詠唱するサンダー、サンダラ、サンダガ、サンダジャの詠唱時間と消費ＭＰを0にし、かつヒット時に通常ダメージに加えて、継続ダメージの総量を一度に与える。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>40秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>発動条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>サンダー、サンダガの継続ダメージヒット時（発動確率10％）および、サンダラ、サンダジャの継続ダメージヒット時（発動確率3％）"
34,"園芸師にクラスチェンジした際、自動でトライアングレートの効果を得る。"
35,"「ステルス」効果が有効なモンスターの最大レベルを30にする。"
36,"「ステルス」効果が有効なモンスターの最大レベルを40にする。"
37,"「ステルス」効果が有効なモンスターの最大レベルを50にする。"
38,"採掘師にクラスチェンジした際、自動でプロスペクトの効果を得る。"
39,"「ステルス」効果が有効なモンスターの最大レベルを30にする。"
40,"「ステルス」効果が有効なモンスターの最大レベルを40にする。"
41,"「ステルス」効果が有効なモンスターの最大レベルを50にする。"
42,"良木や草刈場が持つ獲得率に関する特殊な性質を発見できるようになる。"
43,"良木や草刈場が持つ獲得回数に関する特殊な性質を発見できるようになる。"
44,"良木や草刈場が持つ獲得数ボーナス発生率に関する特殊な性質を発見できるようになる。"
45,"良木や草刈場が持つ獲得数に関する特殊な性質を発見できるようになる。"
46,"クリスタルを十二神の加護効果の対象にする。"
47,"クラスターを十二神の加護効果の対象にする。"
48,"採掘場や岩場が持つ獲得率に関する特殊な性質を発見できるようになる。"
49,"採掘場や岩場が持つ獲得回数に関する特殊な性質を発見できるようになる。"
50,"採掘場や岩場が持つ獲得数ボーナス発生率に関する特殊な性質を発見できるようになる。"
51,"採掘場や岩場が持つ獲得数に関する特殊な性質を発見できるようになる。"
52,"クリスタルを十二神の加護効果の対象にする。"
53,"クラスターを十二神の加護効果の対象にする。"
54,"砂海を釣り場としてキャスト実行可能になる。"
55,"雲海を釣り場としてキャスト実行可能になる。"
56,"「ステルス」効果が有効なモンスターの最大レベルを30にする。"
57,"「ステルス」効果が有効なモンスターの最大レベルを40にする。"
58,"「ステルス」効果が有効なモンスターの最大レベルを50にする。"
59,"自身のレベル以下の穴場を発見し釣りができるようになる。"
60,"LV35までの穴場を発見し釣りができるようになる。"
