key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,str,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"ベリークリーム・ハートケーキ",4,4,10,4,16,4,22,4,0,0,0,0,0,0,0,0
2,"ベリークリーム・ハートケーキ",4,4,7,2,8,2,13,2,14,2,22,4,0,0,0,0
3,"ベリークリーム・モーグリケーキ",4,4,8,2,11,2,14,2,15,2,19,4,0,0,0,0
4,"ベリークリーム・モーグリケーキ",4,4,11,2,10,2,17,2,16,2,19,4,0,0,0,0
5,"ベリークリーム・エッグチョコケーキ",4,4,9,2,7,2,15,2,17,2,20,4,0,0,0,0
6,"ベリークリーム・エッグチョコケーキ",4,4,10,2,11,2,16,2,13,2,20,4,0,0,0,0
7,"ベリークリーム・チョコボケーキ",4,4,7,2,11,2,13,2,15,2,23,4,0,0,0,0
8,"ベリークリーム・チョコボケーキ",4,4,8,2,9,2,14,2,16,2,23,4,0,0,0,0
9,"ベリークリーム・サボテンダーケーキ",4,4,11,2,9,2,17,2,14,2,21,4,0,0,0,0
10,"ベリークリーム・サボテンダーケーキ",4,4,9,2,10,2,15,2,16,2,21,4,0,0,0,0
11,"ホイップクリーム・ハートケーキ",1,4,7,2,8,2,16,2,14,2,22,4,0,0,0,0
12,"ホイップクリーム・ハートケーキ",1,4,8,2,11,2,13,2,14,2,22,4,0,0,0,0
13,"ホイップクリーム・モーグリケーキ",1,4,7,4,13,4,19,4,0,0,0,0,0,0,0,0
14,"ホイップクリーム・モーグリケーキ",1,4,11,2,10,2,14,2,17,2,19,4,0,0,0,0
15,"ホイップクリーム・エッグチョコケーキ",1,4,9,2,7,2,17,2,13,2,20,4,0,0,0,0
16,"ホイップクリーム・エッグチョコケーキ",1,4,10,2,11,2,15,2,16,2,20,4,0,0,0,0
17,"ホイップクリーム・チョコボケーキ",1,4,7,2,11,2,13,2,16,2,23,4,0,0,0,0
18,"ホイップクリーム・チョコボケーキ",1,4,8,2,9,2,14,2,17,2,23,4,0,0,0,0
19,"ホイップクリーム・サボテンダーケーキ",1,4,11,2,9,2,17,2,15,2,21,4,0,0,0,0
20,"ホイップクリーム・サボテンダーケーキ",1,4,9,2,10,2,15,2,13,2,21,4,0,0,0,0
21,"チョコクリーム・ハートケーキ",2,4,9,2,10,2,13,2,17,2,22,4,0,0,0,0
22,"チョコクリーム・ハートケーキ",2,4,11,2,9,2,14,2,15,2,22,4,0,0,0,0
23,"チョコクリーム・モーグリケーキ",2,4,8,2,9,2,17,2,16,2,19,4,0,0,0,0
24,"チョコクリーム・モーグリケーキ",2,4,7,2,11,2,15,2,17,2,19,4,0,0,0,0
25,"チョコクリーム・エッグチョコケーキ",2,4,8,4,14,4,20,4,0,0,0,0,0,0,0,0
26,"チョコクリーム・エッグチョコケーキ",2,4,10,2,11,2,13,2,15,2,20,4,0,0,0,0
