key,0
#,
int32,str
0,""
1,"コスモミッションの目標を達成した！"
2,"コスモミッションの目標を達成した！"
3,"[コスモエクスプローラーのミッション専用アイテム]"
4,"<Sheet(ClassJob,IntegerParameter(1),0)/>で現在進行可能な研究は、みんな完了したっショ！
次の研究方針が定まるまで、待機しててくれるカナ？"
5,"<Sheet(ClassJob,IntegerParameter(1),0)/>の研究データの分析が、十分進んできたみたいっショ！
一度、惑星研究所へ来てくれるカナ～？"
6,"<Sheet(ClassJob,IntegerParameter(1),0)/>のコスモリサーチへの貢献に関する、
データ分析の進捗はこんな具合っショ！"
7,"ここが……こうなっていて……
あれはきっと……ああなっていて……。"
8,"惑星研究所で使われている研究モジュールは、
魔法大学のものをベースにしているっショ～。"
9,"コスモリサーチが進展すれば、
もっともっと計画に役立つ道具が、作れるようになるはずっショ！"
10,"高度な研究には、より詳細なデータが必要になるんダナ～。
ガンバってもらうことになるけど、よろしくたのむっショ～！"
11,"いろんな分野の研究を進めると、全体の効率があがるんダナ～！"
