key,0,1
#,,
int32,str,str
0,"TEXT_CTSOPN70GABBRO_00851_CFC_TO_INSTANCE_CONTENT","<Sheet(ContentFinderCondition,IntegerParameter(1),3)/>"
1,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_000","やあ、生身の挑戦者、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>！
僕に声をかけてくれてありがとう。"
2,"TEXT_CTSOPN70GABBRO_00851_Q1_000_000","何をする？"
3,"TEXT_CTSOPN70GABBRO_00851_A1_000_003","話す"
4,"TEXT_CTSOPN70GABBRO_00851_A1_000_004","キャンセル"
5,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_100","それでは、「ライトヘビー級」の取材をさせてくれ。
最も低い階級とはいえ、魔物の魂も使わず、
生身で新王者となったキミには、僕含めて皆が驚かされた。"
6,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_101","そのうえ、乱入してきた元へビー級の闘士、
ウィケッドサンダーまでも返り討ちにしたのだからね……
未曾有の番狂わせに、大いに興奮したものさ！"
7,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_102","もちろん、客席や中継で食い入るように試合を観ていたが、
当事者からその闘いの詳細を聞かせてもらいたい。
どうか、お願いできるだろうか？"
8,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_103","ふむふむ、なるほど。
当事者の視点から試合を知ることで、
闘いを漫画として創造し直すための、想像力が湧いてきたよ。"
9,"TEXT_CTSOPN70GABBRO_00851_Q1_100_100","何と言う？"
10,"TEXT_CTSOPN70GABBRO_00851_A1_100_100","想像力……？"
11,"TEXT_CTSOPN70GABBRO_00851_A2_100_100","そのまま漫画にしないの？"
12,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_104","ああ、僕の漫画は試合の記録じゃないからね。
実際の闘いをもとに想像を膨らませて、
さらに激しく誇張し、ときに大胆に脚色して、自由に描くんだ。"
13,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_105","例えば……
俊敏な動きに苦労した「ブラックキャット」に、
さらなる妙技を使われたら？"
14,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_106","可愛く見えて心底恐ろしい「ハニー・Ｂ・ラブリー」が、
本気でキレたらどうなるのか？"
15,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_107","「ブルートボンバー」の反則がもっと酷かったら、
どんな惨劇になったのか？"
16,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_108","もし、「ウィケッドサンダー」が途中で退くことなく、
試合が続行していたとしたら……？"
17,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_109","そんな風に想像して漫画にするのさ。
よし、これは手に汗握る傑作になりそうだ！"
18,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_110","今日は忙しい中、取材を受けてくれてありがとう。
これからも応援してるから、次の階級でもがんばってくれ！"
19,"TEXT_CTSOPN70GABBRO_00851_GABBRO_100_400","取材の件なら、まだ準備ができてなくてね……。
すまないが、もう少しだけ待っていてくれ。"
20,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_400","雑談したいっていうのかい？
そうだな、改めて自己紹介でもさせてもらおうか……。"
21,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_401","僕は絵で語られる物語、漫画というものを描いていてね。
主にアルカディアの闘技を題材にしているんだ。"
22,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_402","自分で言うのもなんだけど、
僕の作品はソリューション・ナインで大人気なんだよ。"
23,"TEXT_CTSOPN70GABBRO_00851_GABBRO_000_403","新たなスター闘士である、キミの闘いを漫画にしたら、
それこそ大ヒット間違いなしさ！"
