key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_000","はぁ、まさか本当に被害に遭うだなんて……。"
1,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_001","あ、いらっしゃいませー！
ご注文が決まりましたら、お呼びくださーい！"
2,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_010","いらっしゃいませー！
祭器奪還の依頼について、何か確認したいことがありましたら、
私にわかる範囲でお答えしますよ！"
3,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_100_010",""
4,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_150_010",""
5,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_200_010",""
6,"TEXT_JOBDEFROLERRALMAJUN_00852_Q1_000_020","何を聞く？"
7,"TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_021","近況について"
8,"TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_022","「祭器」とは？"
9,"TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_023","「自由の扉」とは？"
10,"TEXT_JOBDEFROLERRALMAJUN_00852_A1_000_024","キャンセル"
11,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_030","祭器を盗まれ、犯人を追跡している部族は5つ。
それぞれ、求められる能力は異なりますが……
奪還に向かった方たちに、どうか協力してあげてくださーい！"
12,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_031","おかげさまで、盗まれた祭器を5つすべて取り戻せました！
本当にありがとうございます！"
13,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_032","ただ、「自由の扉」の構成員は6人だったはず。
組織の壊滅には至っていない以上、
危機が完全に去ったわけではありません……。"
14,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_033","もし何か新しい動きがありましたらお報せしますので、
折を見て、うちの店に顔を出してみてください。
何もなくても、お客さんとして歓迎いたしますよー！"
15,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_060",""
16,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_061",""
17,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_100_061",""
18,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_062",""
19,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_063",""
20,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_064",""
21,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_065",""
22,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_040","トラル大陸各地に住まう部族が、
数百年前から先祖代々受け継いできた、すごーいお宝です！"
23,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_041","祭器の中には、各部族が象徴と仰ぐ動物の、
トラルヴィドラールの魂が封印されているそうでしてね。
手にした者は、その能力を自在に引き出して使えるのだとか。"
24,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_042","各部族は、それぞれ自分たちの集落を護るため、
込められた力を敬いながら使ってきたそうです。"
25,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_043","ちなみに……祭器の由来はまったくの不明でして。
誰が、何の目的で造り、総計いくつが現存するのかも、
わかっていないのだとか……古代の神秘ってやつですかね！？"
26,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_044",""
27,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_045",""
28,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_050","アパーヒという人物を首領とする悪の秘密組織、だそうです。
構成員は彼女を含めて合計6人……
席に着いて何も注文せずに帰るだなんて、ホント迷惑な連中！"
29,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_051","首領曰く、彼女らの目的は、
世界中に混乱を巻き起こし、国家を転覆させること。
そのために各部族の集落を襲い、祭器を盗み出したんですね。"
30,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_052","連中はすでに海を越え、外つ国へと逃走していて、
行き先はどうやら全員バラバラみたいです。"
31,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_053","盗まれた祭器を取り戻すのはもちろんですが……
これ以上悪さをしないように、とっちめておいてください！"
32,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_054",""
33,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_055",""
34,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_056",""
35,"TEXT_JOBDEFROLERRALMAJUN_00852_RRALMAJUN_000_057",""
