key,0,1
#,,
int32,str,str
0,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_001","ああ、話を聞きにきたんですね。
ヴァナ・ディールのつわものについて知りたいのなら、
吟遊詩人の酒場で聞いた逸話を披露しましょう。"
1,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_Q1_000_000","何と言う？"
2,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_A1_000_001","あなたのことを教えてほしい"
3,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_A1_000_002","「ファヴニル」について"
4,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_A1_000_003","「アークエンジェル」について"
5,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_A1_000_004","「闇の王」について"
6,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_A1_000_005","キャンセル"
7,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_003","私は冒険者の間で名が知られているような「つわもの」ではなく、
バストゥーク共和国出身の平凡な冒険者。
しかしひとつだけ、誰にも負けない武器を持っているのですよ。"
8,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_004","それは、冒険者同士の繋がり。
リンクシェルを通じて集まった多くの仲間たちと、
先達からの話を元に様々な冒険に繰り出してきました。"
9,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_005","特に印象深かったのは、
アルザダール海底遺跡群から連なる遺構に眠る、宝の探索……。
この鎧は、そのときに<RubyCharaters>FF07E59B9EE58F8EFF10E382B5E383ABE38399E383BCE382B8</RubyCharaters>した物なんですよ。"
10,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_006","仲間とともに苦難を越えた喜びは、何物にも代えがたい。
あなたにも、そういった経験がありますか？"
11,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_007","巨大樹の最奥で遭遇した、巨大な竜……？
ああ、それは真龍と呼ばれる希少なドラゴン、
「ファヴニル」に違いありませんね。"
12,"TEXT_CTSETCEOVBOSSEXPLANATION_00912_VANAADV05234C_000_008","こんな逸話があります。
遙か昔、かの竜と戦った英雄が、
心臓近くにまで「リディル」という名の剣を突き刺したと。"
