key,0,1
#,,
int32,str,str
0,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_000","こちらはコスモフォーチュン窓口です～。
どのようなご用件でしょう？"
1,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_010","その光り輝くチケットは……
コスモフォーチュン・ビッグバンチケット！"
2,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_020","千載一遇の大チャンス、
コスモフォーチュン・ビッグバンへの参加権ですよ！
どうぞ、お楽しみくださいね～！！"
3,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_000","コスモフォーチュン・ビッグバンに挑戦する"
4,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_010","コスモフォーチュンに挑戦する（<Value>IntegerParameter(1)</Value>ムーンクレジット）"
5,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_020","コスモフォーチュンの遊び方が知りたい"
6,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_030","キャンセル"
7,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_040","ご用件は？"
8,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_000","コスモフォーチュンの遊び方ですね～！
こちらは、ルーレット形式のくじを回して、
豪華景品の獲得を目指す報酬プログラムなんです～。"
9,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_010","参加方法は、とっても簡単ですよ～。
探索事業に協力した際に得られるムーンクレジットを、
<Value>IntegerParameter(1)</Value>クレジット、こちらでお支払いください～！"
10,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_020","それから、コスモフォーチュンを起動させてもらいます～。
画面に表示された2つのルーレットから、
欲しい景品のルーレットを選んで抽選を始めてくださいね～。"
11,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_030","詳しいことは、
エクスプローラータブレットにも記載がありますよ～。
よろしければ、ぜひ見てみてくださいね～！"
12,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_030_000","おや、前回遊ばれたコスモフォーチュンで、
受け取られていない景品があるようです～。
どうぞこちら、お受け取りください～！"
13,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_030_010","あらら、手荷物がいっぱいのようですね～。
受け取られる際には、またお声がけください～！"
14,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_040_000","あらら、ムーンクレジットが足りないようです～。
またのご挑戦を、お待ちしております！"
15,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_040_010","あらら、手荷物がいっぱいで、
景品の受け取りが難しそうですね～。
またのお越しをお待ちしておりますね！"
16,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_000","またのご挑戦を、お待ちしております～！"
17,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_010","大興奮のビッグバンでしたね～！！
またのご挑戦を、お待ちしております～！"
18,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_060_000","こちらは、コスモフォーチュンの窓口です～。
ただいま抽選システムの更新中ですので、
また後ほどお越しください～！"
19,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_000","コスモフォーチュンに挑戦するには、
<Value>IntegerParameter(1)</Value>ムーンクレジットが必要です。
[所持ムーンクレジット：<Value>IntegerParameter(2)</Value>]"
20,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_010","コスモフォーチュン・ビッグバンに挑戦するには、
コスモフォーチュン・ビッグバンチケットが1枚必要です。
[所持チケット数：<Value>IntegerParameter(1)</Value>]"
21,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_020","はい"
22,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_030","いいえ"
